upgrade,heating_fuel,living_space_delta,building_id
0,Electricity,<-5 degF,0
0,Electricity,"[-5, -3) degF",0
0,Electricity,"[-3, -1) degF",0
0,Electricity,"[-1, 1) degF",0
0,Electricity,"[1, 3) degF",0
0,Electricity,"[3, 5) degF",0
0,Electricity,5+ degF,0
0,Fuel Oil,<-5 degF,0
0,Fuel Oil,"[-5, -3) degF",0
0,Fuel Oil,"[-3, -1) degF",0
0,Fuel Oil,"[-1, 1) degF",0
0,Fuel Oil,"[1, 3) degF",0
0,Fuel Oil,"[3, 5) degF",0
0,Fuel Oil,5+ degF,0
0,Natural Gas,<-5 degF,0
0,Natural Gas,"[-5, -3) degF",0
0,Natural Gas,"[-3, -1) degF",0
0,Natural Gas,"[-1, 1) degF",0
0,Natural Gas,"[1, 3) degF",0
0,Natural Gas,"[3, 5) degF",0
0,Natural Gas,5+ degF,0
0,None,<-5 degF,0
0,None,"[-5, -3) degF",0
0,None,"[-3, -1) degF",0
0,None,"[-1, 1) degF",0
0,None,"[1, 3) degF",0
0,None,"[3, 5) degF",0
0,None,5+ degF,0
0,Other Fuel,<-5 degF,0
0,Other Fuel,"[-5, -3) degF",0
0,Other Fuel,"[-3, -1) degF",0
0,Other Fuel,"[-1, 1) degF",0
0,Other Fuel,"[1, 3) degF",0
0,Other Fuel,"[3, 5) degF",0
0,Other Fuel,5+ degF,0
0,Propane,<-5 degF,0
0,Propane,"[-5, -3) degF",0
0,Propane,"[-3, -1) degF",0
0,Propane,"[-1, 1) degF",0
0,Propane,"[1, 3) degF",0
0,Propane,"[3, 5) degF",0
0,Propane,5+ degF,0
1,Electricity,<-5 degF,4
1,Electricity,"[-5, -3) degF",4
1,Electricity,"[-3, -1) degF",44
1,Electricity,"[-1, 1) degF",191101
1,Electricity,"[1, 3) degF",17001
1,Electricity,"[3, 5) degF",3384
1,Electricity,5+ degF,958
1,Fuel Oil,<-5 degF,1
1,Fuel Oil,"[-5, -3) degF",0
1,Fuel Oil,"[-3, -1) degF",2
1,Fuel Oil,"[-1, 1) degF",24475
1,Fuel Oil,"[1, 3) degF",625
1,Fuel Oil,"[3, 5) degF",247
1,Fuel Oil,5+ degF,55
1,Natural Gas,<-5 degF,3
1,Natural Gas,"[-5, -3) degF",3
1,Natural Gas,"[-3, -1) degF",36
1,Natural Gas,"[-1, 1) degF",229381
1,Natural Gas,"[1, 3) degF",17916
1,Natural Gas,"[3, 5) degF",5354
1,Natural Gas,5+ degF,1578
1,None,<-5 degF,0
1,None,"[-5, -3) degF",0
1,None,"[-3, -1) degF",1
1,None,"[-1, 1) degF",845
1,None,"[1, 3) degF",954
1,None,"[3, 5) degF",496
1,None,5+ degF,235
1,Other Fuel,<-5 degF,0
1,Other Fuel,"[-5, -3) degF",0
1,Other Fuel,"[-3, -1) degF",3
1,Other Fuel,"[-1, 1) degF",3670
1,Other Fuel,"[1, 3) degF",3920
1,Other Fuel,"[3, 5) degF",2387
1,Other Fuel,5+ degF,2564
1,Propane,<-5 degF,0
1,Propane,"[-5, -3) degF",0
1,Propane,"[-3, -1) degF",2
1,Propane,"[-1, 1) degF",23030
1,Propane,"[1, 3) degF",1112
1,Propane,"[3, 5) degF",318
1,Propane,5+ degF,114
2,Electricity,<-5 degF,4
2,Electricity,"[-5, -3) degF",6
2,Electricity,"[-3, -1) degF",56
2,Electricity,"[-1, 1) degF",191693
2,Electricity,"[1, 3) degF",17420
