upgrade,hvac_heating_type,living_space_delta,building_id
0,Ducted Heat Pump,<-5 degF,0
0,Ducted Heat Pump,"[-5, -3) degF",0
0,Ducted Heat Pump,"[-3, -1) degF",0
0,Ducted Heat Pump,"[-1, 1) degF",0
0,Ducted Heat Pump,"[1, 3) degF",0
0,Ducted Heat Pump,"[3, 5) degF",0
0,Ducted Heat Pump,5+ degF,0
0,Ducted Heating,<-5 degF,0
0,Ducted Heating,"[-5, -3) degF",0
0,Ducted Heating,"[-3, -1) degF",0
0,Ducted Heating,"[-1, 1) degF",0
0,Ducted Heating,"[1, 3) degF",0
0,Ducted Heating,"[3, 5) degF",0
0,Ducted Heating,5+ degF,0
0,Non-Ducted Heating,<-5 degF,0
0,Non-Ducted Heating,"[-5, -3) degF",0
0,Non-Ducted Heating,"[-3, -1) degF",0
0,Non-Ducted Heating,"[-1, 1) degF",0
0,Non-Ducted Heating,"[1, 3) degF",0
0,Non-Ducted Heating,"[3, 5) degF",0
0,Non-Ducted Heating,5+ degF,0
0,None,<-5 degF,0
0,None,"[-5, -3) degF",0
0,None,"[-3, -1) degF",0
0,None,"[-1, 1) degF",0
0,None,"[1, 3) degF",0
0,None,"[3, 5) degF",0
0,None,5+ degF,0
1,Ducted Heat Pump,<-5 degF,0
1,Ducted Heat Pump,"[-5, -3) degF",0
1,Ducted Heat Pump,"[-3, -1) degF",27
1,Ducted Heat Pump,"[-1, 1) degF",57783
1,Ducted Heat Pump,"[1, 3) degF",3751
1,Ducted Heat Pump,"[3, 5) degF",506
1,Ducted Heat Pump,5+ degF,108
1,Ducted Heating,<-5 degF,4
1,Ducted Heating,"[-5, -3) degF",4
1,Ducted Heating,"[-3, -1) degF",30
1,Ducted Heating,"[-1, 1) degF",298375
1,Ducted Heating,"[1, 3) degF",24623
1,Ducted Heating,"[3, 5) degF",6721
1,Ducted Heating,5+ degF,2964
1,Non-Ducted Heating,<-5 degF,4
1,Non-Ducted Heating,"[-5, -3) degF",3
1,Non-Ducted Heating,"[-3, -1) degF",30
1,Non-Ducted Heating,"[-1, 1) degF",115499
1,Non-Ducted Heating,"[1, 3) degF",12200
1,Non-Ducted Heating,"[3, 5) degF",4463
1,Non-Ducted Heating,5+ degF,2197
1,None,<-5 degF,0
1,None,"[-5, -3) degF",0
1,None,"[-3, -1) degF",1
1,None,"[-1, 1) degF",845
1,None,"[1, 3) degF",954
1,None,"[3, 5) degF",496
1,None,5+ degF,235
2,Ducted Heat Pump,<-5 degF,0
2,Ducted Heat Pump,"[-5, -3) degF",1
2,Ducted Heat Pump,"[-3, -1) degF",30
2,Ducted Heat Pump,"[-1, 1) degF",57749
2,Ducted Heat Pump,"[1, 3) degF",3943
2,Ducted Heat Pump,"[3, 5) degF",622
2,Ducted Heat Pump,5+ degF,156
2,Ducted Heating,<-5 degF,5
2,Ducted Heating,"[-5, -3) degF",4
2,Ducted Heating,"[-3, -1) degF",46
2,Ducted Heating,"[-1, 1) degF",296974
2,Ducted Heating,"[1, 3) degF",24971
2,Ducted Heating,"[3, 5) degF",8507
2,Ducted Heating,5+ degF,4158
2,Non-Ducted Heating,<-5 degF,5
2,Non-Ducted Heating,"[-5, -3) degF",6
2,Non-Ducted Heating,"[-3, -1) degF",41
2,Non-Ducted Heating,"[-1, 1) degF",116430
2,Non-Ducted Heating,"[1, 3) degF",11961
2,Non-Ducted Heating,"[3, 5) degF",5632
2,Non-Ducted Heating,5+ degF,2965
2,None,<-5 degF,0
2,None,"[-5, -3) degF",0
2,None,"[-3, -1) degF",1
2,None,"[-1, 1) degF",837
2,None,"[1, 3) degF",875
2,None,"[3, 5) degF",544
2,None,5+ degF,334
3,Ducted Heat Pump,<-5 degF,0
3,Ducted Heat Pump,"[-5, -3) degF",0
3,Ducted Heat Pump,"[-3, -1) degF",10
3,Ducted Heat Pump,"[-1, 1) degF",62927
3,Ducted Heat Pump,"[1, 3) degF",2
3,Ducted Heat Pump,"[3, 5) degF",0
3,Ducted Heat Pump,5+ degF,0
3,Ducted Heating,<-5 degF,3121
3,Ducted Heating,"[-5, -3) degF",3165
3,Ducted Heating,"[-3, -1) degF",6275
3,Ducted Heating,"[-1, 1) degF",316718
3,Ducted Heating,"[1, 3) degF",2462
3,Ducted Heating,"[3, 5) degF",890
3,Ducted Heating,5+ degF,7629
3,Non-Ducted Heating,<-5 degF,2231
3,Non-Ducted Heating,"[-5, -3) degF",2763
3,Non-Ducted Heating,"[-3, -1) degF",5360
3,Non-Ducted Heating,"[-1, 1) degF",126188
3,Non-Ducted Heating,"[1, 3) degF",2117
3,Non-Ducted Heating,"[3, 5) degF",483
3,Non-Ducted Heating,5+ degF,3160
3,None,<-5 degF,144
3,None,"[-5, -3) degF",61
3,None,"[-3, -1) degF",129
3,None,"[-1, 1) degF",970
3,None,"[1, 3) degF",304
3,None,"[3, 5) degF",239
3,None,5+ degF,912
4,Ducted Heat Pump,<-5 degF,0
4,Ducted Heat Pump,"[-5, -3) degF",0
4,Ducted Heat Pump,"[-3, -1) degF",10
4,Ducted Heat Pump,"[-1, 1) degF",62869
4,Ducted Heat Pump,"[1, 3) degF",46
4,Ducted Heat Pump,"[3, 5) degF",6
4,Ducted Heat Pump,5+ degF,8
4,Ducted Heating,<-5 degF,2724
4,Ducted Heating,"[-5, -3) degF",2961
4,Ducted Heating,"[-3, -1) degF",5849
4,Ducted Heating,"[-1, 1) degF",317495
4,Ducted Heating,"[1, 3) degF",2593
4,Ducted Heating,"[3, 5) degF",934
4,Ducted Heating,5+ degF,7704
4,Non-Ducted Heating,<-5 degF,2210
4,Non-Ducted Heating,"[-5, -3) degF",2731
4,Non-Ducted Heating,"[-3, -1) degF",5324
4,Non-Ducted Heating,"[-1, 1) degF",126715
4,Non-Ducted Heating,"[1, 3) degF",1712
4,Non-Ducted Heating,"[3, 5) degF",429
4,Non-Ducted Heating,5+ degF,3181
4,None,<-5 degF,144
4,None,"[-5, -3) degF",61
4,None,"[-3, -1) degF",130
4,None,"[-1, 1) degF",969
4,None,"[1, 3) degF",304
4,None,"[3, 5) degF",240
4,None,5+ degF,911
5,Ducted Heat Pump,<-5 degF,74
5,Ducted Heat Pump,"[-5, -3) degF",56
5,Ducted Heat Pump,"[-3, -1) degF",123
5,Ducted Heat Pump,"[-1, 1) degF",63329
5,Ducted Heat Pump,"[1, 3) degF",12
5,Ducted Heat Pump,"[3, 5) degF",0
5,Ducted Heat Pump,5+ degF,1
5,Ducted Heating,<-5 degF,3139
5,Ducted Heating,"[-5, -3) degF",3274
5,Ducted Heating,"[-3, -1) degF",6801
5,Ducted Heating,"[-1, 1) degF",314761
5,Ducted Heating,"[1, 3) degF",1679
5,Ducted Heating,"[3, 5) degF",260
5,Ducted Heating,5+ degF,104
5,Non-Ducted Heating,<-5 degF,2217
5,Non-Ducted Heating,"[-5, -3) degF",2733
5,Non-Ducted Heating,"[-3, -1) degF",5350
5,Non-Ducted Heating,"[-1, 1) degF",125741
5,Non-Ducted Heating,"[1, 3) degF",1936
5,Non-Ducted Heating,"[3, 5) degF",370
5,Non-Ducted Heating,5+ degF,196
5,None,<-5 degF,0
5,None,"[-5, -3) degF",0
5,None,"[-3, -1) degF",0
5,None,"[-1, 1) degF",0
5,None,"[1, 3) degF",0
5,None,"[3, 5) degF",0
5,None,5+ degF,0
6,Ducted Heat Pump,<-5 degF,93
6,Ducted Heat Pump,"[-5, -3) degF",319
6,Ducted Heat Pump,"[-3, -1) degF",1334
6,Ducted Heat Pump,"[-1, 1) degF",61023
6,Ducted Heat Pump,"[1, 3) degF",56
6,Ducted Heat Pump,"[3, 5) degF",0
6,Ducted Heat Pump,5+ degF,0
6,Ducted Heating,<-5 degF,1137
6,Ducted Heating,"[-5, -3) degF",2580
6,Ducted Heating,"[-3, -1) degF",10459
6,Ducted Heating,"[-1, 1) degF",323525
6,Ducted Heating,"[1, 3) degF",610
6,Ducted Heating,"[3, 5) degF",17
6,Ducted Heating,5+ degF,1
6,Non-Ducted Heating,<-5 degF,637
6,Non-Ducted Heating,"[-5, -3) degF",1149
6,Non-Ducted Heating,"[-3, -1) degF",4487
6,Non-Ducted Heating,"[-1, 1) degF",134953
6,Non-Ducted Heating,"[1, 3) degF",209
6,Non-Ducted Heating,"[3, 5) degF",7
6,Non-Ducted Heating,5+ degF,0
6,None,<-5 degF,122
6,None,"[-5, -3) degF",180
6,None,"[-3, -1) degF",469
6,None,"[-1, 1) degF",1862
6,None,"[1, 3) degF",97
6,None,"[3, 5) degF",5
6,None,5+ degF,0
7,Ducted Heat Pump,<-5 degF,32
7,Ducted Heat Pump,"[-5, -3) degF",76
7,Ducted Heat Pump,"[-3, -1) degF",327
7,Ducted Heat Pump,"[-1, 1) degF",18010
7,Ducted Heat Pump,"[1, 3) degF",49
7,Ducted Heat Pump,"[3, 5) degF",0
7,Ducted Heat Pump,5+ degF,0
7,Ducted Heating,<-5 degF,2995
7,Ducted Heating,"[-5, -3) degF",3621
7,Ducted Heating,"[-3, -1) degF",8687
7,Ducted Heating,"[-1, 1) degF",243762
7,Ducted Heating,"[1, 3) degF",2279
7,Ducted Heating,"[3, 5) degF",779
7,Ducted Heating,5+ degF,7561
7,Non-Ducted Heating,<-5 degF,1401
7,Non-Ducted Heating,"[-5, -3) degF",2071
7,Non-Ducted Heating,"[-3, -1) degF",4625
7,Non-Ducted Heating,"[-1, 1) degF",96405
7,Non-Ducted Heating,"[1, 3) degF",1674
7,Non-Ducted Heating,"[3, 5) degF",363
7,Non-Ducted Heating,5+ degF,3103
7,None,<-5 degF,165
7,None,"[-5, -3) degF",85
7,None,"[-3, -1) degF",205
7,None,"[-1, 1) degF",863
7,None,"[1, 3) degF",294
7,None,"[3, 5) degF",235
7,None,5+ degF,912
8,Ducted Heat Pump,<-5 degF,87
8,Ducted Heat Pump,"[-5, -3) degF",305
8,Ducted Heat Pump,"[-3, -1) degF",1286
8,Ducted Heat Pump,"[-1, 1) degF",61668
8,Ducted Heat Pump,"[1, 3) degF",190
8,Ducted Heat Pump,"[3, 5) degF",26
8,Ducted Heat Pump,5+ degF,33
8,Ducted Heating,<-5 degF,3520
8,Ducted Heating,"[-5, -3) degF",4278
8,Ducted Heating,"[-3, -1) degF",10676
8,Ducted Heating,"[-1, 1) degF",309820
8,Ducted Heating,"[1, 3) degF",3216
8,Ducted Heating,"[3, 5) degF",983
8,Ducted Heating,5+ degF,7766
8,Non-Ducted Heating,<-5 degF,2650
8,Non-Ducted Heating,"[-5, -3) degF",3232
8,Non-Ducted Heating,"[-3, -1) degF",6861
8,Non-Ducted Heating,"[-1, 1) degF",124060
8,Non-Ducted Heating,"[1, 3) degF",1851
8,Non-Ducted Heating,"[3, 5) degF",437
8,Non-Ducted Heating,5+ degF,3209
8,None,<-5 degF,171
8,None,"[-5, -3) degF",100
8,None,"[-3, -1) degF",225
8,None,"[-1, 1) degF",822
8,None,"[1, 3) degF",299
8,None,"[3, 5) degF",234
8,None,5+ degF,908
9,Ducted Heat Pump,<-5 degF,68
9,Ducted Heat Pump,"[-5, -3) degF",240
9,Ducted Heat Pump,"[-3, -1) degF",883
9,Ducted Heat Pump,"[-1, 1) degF",58690
9,Ducted Heat Pump,"[1, 3) degF",3119
9,Ducted Heat Pump,"[3, 5) degF",462
9,Ducted Heat Pump,5+ degF,133
9,Ducted Heating,<-5 degF,3042
9,Ducted Heating,"[-5, -3) degF",3540
9,Ducted Heating,"[-3, -1) degF",8398
9,Ducted Heating,"[-1, 1) degF",294907
9,Ducted Heating,"[1, 3) degF",16940
9,Ducted Heating,"[3, 5) degF",4605
9,Ducted Heating,5+ degF,8828
9,Non-Ducted Heating,<-5 degF,2265
9,Non-Ducted Heating,"[-5, -3) degF",2667
9,Non-Ducted Heating,"[-3, -1) degF",5491
9,Non-Ducted Heating,"[-1, 1) degF",118030
9,Non-Ducted Heating,"[1, 3) degF",7611
9,Non-Ducted Heating,"[3, 5) degF",2403
9,Non-Ducted Heating,5+ degF,3835
9,None,<-5 degF,153
9,None,"[-5, -3) degF",78
9,None,"[-3, -1) degF",167
9,None,"[-1, 1) degF",635
9,None,"[1, 3) degF",474
9,None,"[3, 5) degF",290
9,None,5+ degF,962
10,Ducted Heat Pump,<-5 degF,66
10,Ducted Heat Pump,"[-5, -3) degF",233
10,Ducted Heat Pump,"[-3, -1) degF",866
10,Ducted Heat Pump,"[-1, 1) degF",58503
