upgrade,building_america_climate_zone,living_space_delta,building_id
0,Cold,<-5 degF,0
0,Cold,"[-5, -3) degF",0
0,Cold,"[-3, -1) degF",0
0,Cold,"[-1, 1) degF",0
0,Cold,"[1, 3) degF",0
0,Cold,"[3, 5) degF",0
0,Cold,5+ degF,0
0,Hot-Dry,<-5 degF,0
0,Hot-Dry,"[-5, -3) degF",0
0,Hot-Dry,"[-3, -1) degF",0
0,Hot-Dry,"[-1, 1) degF",0
0,Hot-Dry,"[1, 3) degF",0
0,Hot-Dry,"[3, 5) degF",0
0,Hot-Dry,5+ degF,0
0,Hot-Humid,<-5 degF,0
0,Hot-Humid,"[-5, -3) degF",0
0,Hot-Humid,"[-3, -1) degF",0
0,Hot-Humid,"[-1, 1) degF",0
0,Hot-Humid,"[1, 3) degF",0
0,Hot-Humid,"[3, 5) degF",0
0,Hot-Humid,5+ degF,0
0,Marine,<-5 degF,0
0,Marine,"[-5, -3) degF",0
0,Marine,"[-3, -1) degF",0
0,Marine,"[-1, 1) degF",0
0,Marine,"[1, 3) degF",0
0,Marine,"[3, 5) degF",0
0,Marine,5+ degF,0
0,Mixed-Dry,<-5 degF,0
0,Mixed-Dry,"[-5, -3) degF",0
0,Mixed-Dry,"[-3, -1) degF",0
0,Mixed-Dry,"[-1, 1) degF",0
0,Mixed-Dry,"[1, 3) degF",0
0,Mixed-Dry,"[3, 5) degF",0
0,Mixed-Dry,5+ degF,0
0,Mixed-Humid,<-5 degF,0
0,Mixed-Humid,"[-5, -3) degF",0
0,Mixed-Humid,"[-3, -1) degF",0
0,Mixed-Humid,"[-1, 1) degF",0
0,Mixed-Humid,"[1, 3) degF",0
0,Mixed-Humid,"[3, 5) degF",0
0,Mixed-Humid,5+ degF,0
0,Very Cold,<-5 degF,0
0,Very Cold,"[-5, -3) degF",0
0,Very Cold,"[-3, -1) degF",0
0,Very Cold,"[-1, 1) degF",0
0,Very Cold,"[1, 3) degF",0
0,Very Cold,"[3, 5) degF",0
0,Very Cold,5+ degF,0
1,Cold,<-5 degF,5
1,Cold,"[-5, -3) degF",4
1,Cold,"[-3, -1) degF",41
1,Cold,"[-1, 1) degF",163394
1,Cold,"[1, 3) degF",7185
1,Cold,"[3, 5) degF",2807
1,Cold,5+ degF,1959
1,Hot-Dry,<-5 degF,0
1,Hot-Dry,"[-5, -3) degF",0
1,Hot-Dry,"[-3, -1) degF",4
1,Hot-Dry,"[-1, 1) degF",42816
1,Hot-Dry,"[1, 3) degF",11966
1,Hot-Dry,"[3, 5) degF",3414
1,Hot-Dry,5+ degF,1163
1,Hot-Humid,<-5 degF,0
1,Hot-Humid,"[-5, -3) degF",1
1,Hot-Humid,"[-3, -1) degF",4
1,Hot-Humid,"[-1, 1) degF",86382
1,Hot-Humid,"[1, 3) degF",8487
1,Hot-Humid,"[3, 5) degF",1185
1,Hot-Humid,5+ degF,348
1,Marine,<-5 degF,0
1,Marine,"[-5, -3) degF",0
1,Marine,"[-3, -1) degF",2
1,Marine,"[-1, 1) degF",17939
1,Marine,"[1, 3) degF",6682
1,Marine,"[3, 5) degF",2401
1,Marine,5+ degF,698
1,Mixed-Dry,<-5 degF,0
1,Mixed-Dry,"[-5, -3) degF",0
1,Mixed-Dry,"[-3, -1) degF",1
