upgrade,hvac_cooling_type,living_space_delta,building_id
0,Central AC,<-5 degF,0
0,Central AC,"[-5, -3) degF",0
0,Central AC,"[-3, -1) degF",0
0,Central AC,"[-1, 1) degF",0
0,Central AC,"[1, 3) degF",0
0,Central AC,"[3, 5) degF",0
0,Central AC,5+ degF,0
0,Heat Pump,<-5 degF,0
0,Heat Pump,"[-5, -3) degF",0
0,Heat Pump,"[-3, -1) degF",0
0,Heat Pump,"[-1, 1) degF",0
0,Heat Pump,"[1, 3) degF",0
0,Heat Pump,"[3, 5) degF",0
0,Heat Pump,5+ degF,0
0,None,<-5 degF,0
0,None,"[-5, -3) degF",0
0,None,"[-3, -1) degF",0
0,None,"[-1, 1) degF",0
0,None,"[1, 3) degF",0
0,None,"[3, 5) degF",0
0,None,5+ degF,0
0,Room AC,<-5 degF,0
0,Room AC,"[-5, -3) degF",0
0,Room AC,"[-3, -1) degF",0
0,Room AC,"[-1, 1) degF",0
0,Room AC,"[1, 3) degF",0
0,Room AC,"[3, 5) degF",0
0,Room AC,5+ degF,0
1,Central AC,<-5 degF,4
1,Central AC,"[-5, -3) degF",4
1,Central AC,"[-3, -1) degF",16
1,Central AC,"[-1, 1) degF",256236
1,Central AC,"[1, 3) degF",18665
1,Central AC,"[3, 5) degF",4492
1,Central AC,5+ degF,1919
1,Heat Pump,<-5 degF,0
1,Heat Pump,"[-5, -3) degF",0
1,Heat Pump,"[-3, -1) degF",27
1,Heat Pump,"[-1, 1) degF",57783
1,Heat Pump,"[1, 3) degF",3751
1,Heat Pump,"[3, 5) degF",506
1,Heat Pump,5+ degF,108
1,None,<-5 degF,2
1,None,"[-5, -3) degF",3
1,None,"[-3, -1) degF",16
1,None,"[-1, 1) degF",64184
1,None,"[1, 3) degF",12600
1,None,"[3, 5) degF",4946
1,None,5+ degF,2086
1,Room AC,<-5 degF,2
1,Room AC,"[-5, -3) degF",0
1,Room AC,"[-3, -1) degF",29
1,Room AC,"[-1, 1) degF",94299
1,Room AC,"[1, 3) degF",6512
1,Room AC,"[3, 5) degF",2242
1,Room AC,5+ degF,1391
2,Central AC,<-5 degF,5
2,Central AC,"[-5, -3) degF",3
2,Central AC,"[-3, -1) degF",23
2,Central AC,"[-1, 1) degF",255489
2,Central AC,"[1, 3) degF",19241
2,Central AC,"[3, 5) degF",5552
2,Central AC,5+ degF,2592
2,Heat Pump,<-5 degF,0
2,Heat Pump,"[-5, -3) degF",1
2,Heat Pump,"[-3, -1) degF",30
2,Heat Pump,"[-1, 1) degF",57749
2,Heat Pump,"[1, 3) degF",3943
2,Heat Pump,"[3, 5) degF",622
2,Heat Pump,5+ degF,156
2,None,<-5 degF,2
2,None,"[-5, -3) degF",5
2,None,"[-3, -1) degF",23
2,None,"[-1, 1) degF",63621
2,None,"[1, 3) degF",12134
2,None,"[3, 5) degF",6393
2,None,5+ degF,3074
2,Room AC,<-5 degF,3
2,Room AC,"[-5, -3) degF",2
2,Room AC,"[-3, -1) degF",42
2,Room AC,"[-1, 1) degF",95131
2,Room AC,"[1, 3) degF",6432
2,Room AC,"[3, 5) degF",2738
2,Room AC,5+ degF,1791
3,Central AC,<-5 degF,229
3,Central AC,"[-5, -3) degF",170
3,Central AC,"[-3, -1) degF",504
