upgrade,hvac_system,living_space_delta,building_id
0,Cooling Only,<-5 degF,0
0,Cooling Only,"[-5, -3) degF",0
0,Cooling Only,"[-3, -1) degF",0
0,Cooling Only,"[-1, 1) degF",0
0,Cooling Only,"[1, 3) degF",0
0,Cooling Only,"[3, 5) degF",0
0,Cooling Only,5+ degF,0
0,Heating Only,<-5 degF,0
0,Heating Only,"[-5, -3) degF",0
0,Heating Only,"[-3, -1) degF",0
0,Heating Only,"[-1, 1) degF",0
0,Heating Only,"[1, 3) degF",0
0,Heating Only,"[3, 5) degF",0
0,Heating Only,5+ degF,0
0,Heating and Cooling,<-5 degF,0
0,Heating and Cooling,"[-5, -3) degF",0
0,Heating and Cooling,"[-3, -1) degF",0
0,Heating and Cooling,"[-1, 1) degF",0
0,Heating and Cooling,"[1, 3) degF",0
0,Heating and Cooling,"[3, 5) degF",0
0,Heating and Cooling,5+ degF,0
0,None,<-5 degF,0
0,None,"[-5, -3) degF",0
0,None,"[-3, -1) degF",0
0,None,"[-1, 1) degF",0
0,None,"[1, 3) degF",0
0,None,"[3, 5) degF",0
0,None,5+ degF,0
1,Cooling Only,<-5 degF,0
1,Cooling Only,"[-5, -3) degF",0
1,Cooling Only,"[-3, -1) degF",0
1,Cooling Only,"[-1, 1) degF",662
1,Cooling Only,"[1, 3) degF",544
1,Cooling Only,"[3, 5) degF",226
1,Cooling Only,5+ degF,102
1,Heating Only,<-5 degF,2
1,Heating Only,"[-5, -3) degF",3
1,Heating Only,"[-3, -1) degF",15
1,Heating Only,"[-1, 1) degF",64001
1,Heating Only,"[1, 3) degF",12190
1,Heating Only,"[3, 5) degF",4676
1,Heating Only,5+ degF,1953
1,Heating and Cooling,<-5 degF,6
1,Heating and Cooling,"[-5, -3) degF",4
1,Heating and Cooling,"[-3, -1) degF",72
1,Heating and Cooling,"[-1, 1) degF",407656
1,Heating and Cooling,"[1, 3) degF",28384
1,Heating and Cooling,"[3, 5) degF",7014
1,Heating and Cooling,5+ degF,3316
1,None,<-5 degF,0
1,None,"[-5, -3) degF",0
1,None,"[-3, -1) degF",1
1,None,"[-1, 1) degF",183
1,None,"[1, 3) degF",410
1,None,"[3, 5) degF",270
1,None,5+ degF,133
2,Cooling Only,<-5 degF,0
2,Cooling Only,"[-5, -3) degF",0
2,Cooling Only,"[-3, -1) degF",0
2,Cooling Only,"[-1, 1) degF",658
2,Cooling Only,"[1, 3) degF",506
2,Cooling Only,"[3, 5) degF",250
2,Cooling Only,5+ degF,152
2,Heating Only,<-5 degF,2
2,Heating Only,"[-5, -3) degF",5
2,Heating Only,"[-3, -1) degF",22
2,Heating Only,"[-1, 1) degF",63442
2,Heating Only,"[1, 3) degF",11765
2,Heating Only,"[3, 5) degF",6099
2,Heating Only,5+ degF,2892
2,Heating and Cooling,<-5 degF,8
2,Heating and Cooling,"[-5, -3) degF",6
2,Heating and Cooling,"[-3, -1) degF",95
2,Heating and Cooling,"[-1, 1) degF",407711
2,Heating and Cooling,"[1, 3) degF",29110
2,Heating and Cooling,"[3, 5) degF",8662
2,Heating and Cooling,5+ degF,4387
2,None,<-5 degF,0
2,None,"[-5, -3) degF",0
2,None,"[-3, -1) degF",1
2,None,"[-1, 1) degF",179
2,None,"[1, 3) degF",369
2,None,"[3, 5) degF",294
2,None,5+ degF,182
3,Cooling Only,<-5 degF,0
3,Cooling Only,"[-5, -3) degF",9
3,Cooling Only,"[-3, -1) degF",23
3,Cooling Only,"[-1, 1) degF",720
3,Cooling Only,"[1, 3) degF",163
3,Cooling Only,"[3, 5) degF",127
3,Cooling Only,5+ degF,623
3,Heating Only,<-5 degF,5030
3,Heating Only,"[-5, -3) degF",5720
3,Heating Only,"[-3, -1) degF",10987
3,Heating Only,"[-1, 1) degF",60604
3,Heating Only,"[1, 3) degF",1404
3,Heating Only,"[3, 5) degF",434
3,Heating Only,5+ degF,2459
3,Heating and Cooling,<-5 degF,322
3,Heating and Cooling,"[-5, -3) degF",208
3,Heating and Cooling,"[-3, -1) degF",658
3,Heating and Cooling,"[-1, 1) degF",445229
3,Heating and Cooling,"[1, 3) degF",3177
3,Heating and Cooling,"[3, 5) degF",939
3,Heating and Cooling,5+ degF,8330
3,None,<-5 degF,144
3,None,"[-5, -3) degF",52
3,None,"[-3, -1) degF",106
3,None,"[-1, 1) degF",250
3,None,"[1, 3) degF",141
3,None,"[3, 5) degF",112
3,None,5+ degF,289
4,Cooling Only,<-5 degF,0
4,Cooling Only,"[-5, -3) degF",9
4,Cooling Only,"[-3, -1) degF",24
4,Cooling Only,"[-1, 1) degF",719
4,Cooling Only,"[1, 3) degF",163
4,Cooling Only,"[3, 5) degF",128
4,Cooling Only,5+ degF,622
