upgrade,ashrae_iecc_climate_zone_2004,living_space_delta,building_id
0,1A,<-5 degF,0
0,1A,"[-5, -3) degF",0
0,1A,"[-3, -1) degF",0
0,1A,"[-1, 1) degF",0
0,1A,"[1, 3) degF",0
0,1A,"[3, 5) degF",0
0,1A,5+ degF,0
0,2A,<-5 degF,0
0,2A,"[-5, -3) degF",0
0,2A,"[-3, -1) degF",0
0,2A,"[-1, 1) degF",0
0,2A,"[1, 3) degF",0
0,2A,"[3, 5) degF",0
0,2A,5+ degF,0
0,2B,<-5 degF,0
0,2B,"[-5, -3) degF",0
0,2B,"[-3, -1) degF",0
0,2B,"[-1, 1) degF",0
0,2B,"[1, 3) degF",0
0,2B,"[3, 5) degF",0
0,2B,5+ degF,0
0,3A,<-5 degF,0
0,3A,"[-5, -3) degF",0
0,3A,"[-3, -1) degF",0
0,3A,"[-1, 1) degF",0
0,3A,"[1, 3) degF",0
0,3A,"[3, 5) degF",0
0,3A,5+ degF,0
0,3B,<-5 degF,0
0,3B,"[-5, -3) degF",0
0,3B,"[-3, -1) degF",0
0,3B,"[-1, 1) degF",0
0,3B,"[1, 3) degF",0
0,3B,"[3, 5) degF",0
0,3B,5+ degF,0
0,3C,<-5 degF,0
0,3C,"[-5, -3) degF",0
0,3C,"[-3, -1) degF",0
0,3C,"[-1, 1) degF",0
0,3C,"[1, 3) degF",0
0,3C,"[3, 5) degF",0
0,3C,5+ degF,0
0,4A,<-5 degF,0
0,4A,"[-5, -3) degF",0
0,4A,"[-3, -1) degF",0
0,4A,"[-1, 1) degF",0
0,4A,"[1, 3) degF",0
0,4A,"[3, 5) degF",0
0,4A,5+ degF,0
0,4B,<-5 degF,0
0,4B,"[-5, -3) degF",0
0,4B,"[-3, -1) degF",0
0,4B,"[-1, 1) degF",0
0,4B,"[1, 3) degF",0
0,4B,"[3, 5) degF",0
0,4B,5+ degF,0
0,4C,<-5 degF,0
0,4C,"[-5, -3) degF",0
0,4C,"[-3, -1) degF",0
0,4C,"[-1, 1) degF",0
0,4C,"[1, 3) degF",0
0,4C,"[3, 5) degF",0
0,4C,5+ degF,0
0,5A,<-5 degF,0
0,5A,"[-5, -3) degF",0
0,5A,"[-3, -1) degF",0
0,5A,"[-1, 1) degF",0
0,5A,"[1, 3) degF",0
0,5A,"[3, 5) degF",0
0,5A,5+ degF,0
0,5B,<-5 degF,0
0,5B,"[-5, -3) degF",0
0,5B,"[-3, -1) degF",0
0,5B,"[-1, 1) degF",0
0,5B,"[1, 3) degF",0
0,5B,"[3, 5) degF",0
0,5B,5+ degF,0
0,6A,<-5 degF,0
0,6A,"[-5, -3) degF",0
0,6A,"[-3, -1) degF",0
0,6A,"[-1, 1) degF",0
0,6A,"[1, 3) degF",0
0,6A,"[3, 5) degF",0
0,6A,5+ degF,0
0,6B,<-5 degF,0
0,6B,"[-5, -3) degF",0
0,6B,"[-3, -1) degF",0
0,6B,"[-1, 1) degF",0
0,6B,"[1, 3) degF",0
0,6B,"[3, 5) degF",0
0,6B,5+ degF,0
0,7A,<-5 degF,0
0,7A,"[-5, -3) degF",0
0,7A,"[-3, -1) degF",0
0,7A,"[-1, 1) degF",0
0,7A,"[1, 3) degF",0
0,7A,"[3, 5) degF",0
0,7A,5+ degF,0
0,7B,<-5 degF,0
0,7B,"[-5, -3) degF",0
0,7B,"[-3, -1) degF",0
0,7B,"[-1, 1) degF",0
0,7B,"[1, 3) degF",0
0,7B,"[3, 5) degF",0
0,7B,5+ degF,0
1,1A,<-5 degF,0
1,1A,"[-5, -3) degF",0
1,1A,"[-3, -1) degF",0
1,1A,"[-1, 1) degF",6934
1,1A,"[1, 3) degF",527
1,1A,"[3, 5) degF",41
1,1A,5+ degF,0
1,2A,<-5 degF,0
1,2A,"[-5, -3) degF",1
1,2A,"[-3, -1) degF",1
1,2A,"[-1, 1) degF",55587
