Year,Propane 2021 $/MMBtu,Distillate Fuel Oil 2021 $/MMBtu,Natural Gas 2021 $/MMBtu,Electricity 2021 $/MMBtu
2020,22.604248,20.862692,11.47385,32.139393
2021,22.604248,20.862692,11.47385,32.139393
2022,24.441231,21.338726,13.768355,32.564823
2023,24.228552,20.980286,11.168307,30.72114
2024,24.276272,22.507776,11.160631,30.007607
2025,24.216267,22.961836,11.29851,29.764059
2026,24.305914,23.509768,11.589616,29.509941
2027,24.637665,24.1884,11.964914,29.641603
2028,25.188612,24.420574,12.153067,29.90975
2029,25.709499,24.541418,12.379527,30.351559
2030,26.248219,24.535162,12.472137,30.280087
2031,26.766394,24.853634,12.594118,30.167807
2032,27.231186,24.999887,12.674534,30.132151
2033,27.664053,25.091908,12.808686,30.299398
2034,28.000643,25.210011,12.887061,30.290491
2035,28.255367,25.31004,12.903742,30.291883
2036,28.49876,25.481665,12.963839,30.006132
2037,28.762754,25.693844,13.047749,29.833992
2038,29.021553,25.838142,13.108631,29.717892
2039,29.213333,25.906462,13.171657,29.60615
2040,29.523636,26.115887,13.22867,29.604799
2041,29.793488,26.23016,13.294757,29.607634
2042,29.938839,26.24292,13.322695,29.435015
2043,30.151091,26.500793,13.369861,29.377937
2044,30.409327,26.78393,13.359657,29.232397
2045,30.554308,26.874853,13.377684,29.134239
2046,30.710144,27.051003,13.406951,29.092348
2047,30.837387,27.108463,13.440429,29.048367
2048,30.926405,27.064947,13.474614,29.103546
2049,30.954617,27.029427,13.509864,28.956013
2050,30.95241,26.943188,13.544634,28.834259
