Year,Propane 2021 $/MMBtu,Distillate Fuel Oil 2021 $/MMBtu,Natural Gas 2021 $/MMBtu,Electricity 2021 $/MMBtu
2020,25.035135,21.66988,15.125964,58.306873
2021,25.035135,21.66988,15.125964,58.306873
2022,27.06967,21.980335,14.41678,62.331921
2023,26.83412,21.71468,14.09376,61.304279
2024,26.886972,23.097567,14.037916,60.559471
2025,26.820515,23.647591,14.154076,61.002563
2026,26.919804,24.218807,14.36803,60.677692
2027,27.287228,24.868811,14.60268,61.197933
2028,27.897423,25.051352,14.610188,61.610626
2029,28.474327,25.176514,14.626328,62.353497
2030,29.070982,25.140089,14.644056,61.051949
2031,29.644882,25.408905,14.661311,61.786293
2032,30.159658,25.507498,14.664193,62.20438
2033,30.639078,25.571831,14.689439,62.738674
2034,31.011866,25.618752,14.69313,64.389244
2035,31.293982,25.698879,14.669325,64.444832
2036,31.563549,25.873436,14.659694,64.55986
2037,31.855932,26.095083,14.658889,64.817459
2038,32.142567,26.226324,14.657519,64.936325
2039,32.354969,26.300959,14.660538,65.155121
2040,32.698643,26.531126,14.660723,65.242615
2041,32.997513,26.633108,14.639202,65.569626
2042,33.158497,26.648052,14.632146,66.072914
2043,33.393574,26.878996,14.632092,66.120872
2044,33.679581,27.141329,14.599904,65.798004
2045,33.840153,27.244946,14.598268,65.807442
2046,34.012749,27.453573,14.599275,65.859085
2047,34.153675,27.486801,14.602782,65.744827
2048,34.25227,27.413906,14.602668,65.674034
2049,34.283512,27.40428,14.615225,65.679977
2050,34.281067,27.361204,14.621645,65.429779
