Year,Propane 2021 $/MMBtu,Distillate Fuel Oil 2021 $/MMBtu,Natural Gas 2021 $/MMBtu,Electricity 2021 $/MMBtu
2020,19.182211,17.199303,9.788699,39.783447
2021,19.182211,17.199303,9.788699,39.783447
2022,20.741095,16.888845,10.262514,39.13081
2023,20.560612,15.599642,8.98936,38.557384
2024,20.601107,16.388891,8.643276,37.593887
2025,20.550188,16.140856,8.465326,37.38739
2026,20.626265,16.007343,8.444197,37.124191
2027,20.907789,15.977002,8.519577,36.993977
2028,21.375328,16.206907,8.676479,36.924202
2029,21.81736,16.33762,8.895694,36.763218
2030,22.274523,16.332701,8.978144,37.22118
2031,22.714251,16.634474,9.087684,37.232193
2032,23.108679,16.791132,9.127824,37.295437
2033,23.476015,16.891237,9.240103,37.224922
2034,23.76165,16.976082,9.250029,37.015045
2035,23.977812,17.07999,9.21245,36.838432
2036,24.184359,17.249243,9.224399,36.66283
2037,24.408386,17.472332,9.264728,36.501873
2038,24.628006,17.608097,9.290981,36.393494
2039,24.790752,17.676598,9.319094,36.304367
2040,25.054077,17.914528,9.341459,36.299179
2041,25.283079,18.018236,9.372119,36.275818
2042,25.406424,18.034441,9.378363,36.220818
2043,25.586544,18.266401,9.392631,36.091713
2044,25.805683,18.534138,9.36685,35.931515
2045,25.928717,18.633249,9.370248,35.836098
2046,26.060963,18.856535,9.380508,35.763466
2047,26.16894,18.876396,9.389127,35.668747
2048,26.244484,18.797924,9.39822,35.592693
2049,26.268423,18.793287,9.420357,35.432972
2050,26.26655,18.724285,9.440792,35.251156
