Year,Propane 2021 $/MMBtu,Distillate Fuel Oil 2021 $/MMBtu,Natural Gas 2021 $/MMBtu,Electricity 2021 $/MMBtu
2020,17.451969,17.282091,9.456867,35.761787
2021,17.451969,17.282091,9.456867,35.761787
2022,18.870239,16.992331,10.351358,33.990826
2023,18.706038,15.703745,9.861867,34.561172
2024,18.74288,16.481096,9.617517,34.573814
2025,18.696552,16.221163,9.505815,34.785477
2026,18.765766,16.075756,9.535177,34.515259
2027,19.021896,16.03352,9.664773,34.268036
2028,19.447266,16.263428,9.82432,34.199432
2029,19.849424,16.394146,10.030401,34.148605
2030,20.265352,16.389231,10.110642,34.223675
2031,20.665417,16.69101,10.214104,34.382679
2032,21.024265,16.847675,10.248692,34.488449
2033,21.358471,16.947783,10.34495,34.377499
2034,21.618341,17.032633,10.375898,34.180431
2035,21.815002,17.136547,10.345654,34.041409
2036,22.002918,17.305803,10.358869,33.99958
2037,22.206738,17.528894,10.389673,33.846333
2038,22.406551,17.664665,10.403354,33.609718
2039,22.554613,17.733168,10.419069,33.471886
2040,22.794189,17.971104,10.428714,33.362389
2041,23.002533,18.074814,10.453653,33.178253
2042,23.114752,18.091022,10.437377,32.981415
2043,23.278625,18.322987,10.439532,32.733349
2044,23.478001,18.590725,10.399756,32.581944
2045,23.589935,18.689838,10.385945,32.494614
2046,23.710253,18.913132,10.378035,32.401039
2047,23.808491,18.932993,10.377512,32.30584
2048,23.87722,18.854525,10.372211,32.128506
2049,23.899,18.849892,10.378326,31.902224
2050,23.897299,18.780891,10.381647,31.679441
