Year,Propane 2021 $/MMBtu,Distillate Fuel Oil 2021 $/MMBtu,Natural Gas 2021 $/MMBtu,Electricity 2021 $/MMBtu
2020,22.183435,19.889927,12.059684,32.922565
2021,22.183435,19.889927,12.059684,32.922565
2022,23.986219,20.365961,12.405648,33.089817
2023,23.777502,19.955559,12.640054,33.348782
2024,23.824331,21.41341,12.197828,32.601807
2025,23.765446,21.783484,11.910074,31.966131
2026,23.853424,22.265812,11.740321,31.733749
2027,24.178995,22.841078,11.64954,31.999754
2028,24.719687,23.076256,11.829066,32.334976
2029,25.230877,23.202412,12.047142,32.629143
2030,25.759567,23.187801,12.156298,32.858624
2031,26.268095,23.477955,12.284947,32.890778
2032,26.724234,23.631079,12.361321,32.879032
2033,27.149044,23.727106,12.493678,33.125679
2034,27.47937,23.834774,12.566758,33.196026
2035,27.729349,23.938856,12.579309,32.951122
2036,27.96821,24.117815,12.634389,32.924961
2037,28.227291,24.344612,12.711466,32.4151
2038,28.481272,24.484417,12.76695,32.345554
2039,28.669481,24.549831,12.823284,32.248688
2040,28.974007,24.738752,12.878091,32.245083
2041,29.238834,24.853876,12.942665,32.243446
2042,29.381477,24.865299,12.969046,32.105652
2043,29.589783,25.123608,13.012507,31.928858
2044,29.843208,25.406296,13.0048,31.803122
2045,29.985491,25.49721,13.026831,31.643625
2046,30.138426,25.673351,13.058614,31.495432
2047,30.263302,25.730806,13.099769,31.950821
2048,30.350664,25.687283,13.14443,31.975382
2049,30.378347,25.651752,13.177212,31.882498
2050,30.376181,25.565504,13.210732,31.774588
