Year,Propane 2021 $/MMBtu,Distillate Fuel Oil 2021 $/MMBtu,Natural Gas 2021 $/MMBtu,Electricity 2021 $/MMBtu
2020,20.472416,19.745047,9.112268,35.289795
2021,20.472416,19.745047,9.112268,35.289795
2022,22.136154,20.117596,9.60961,34.151539
2023,21.943533,19.482031,9.263842,34.592274
2024,21.98675,20.840572,9.135439,34.577225
2025,21.932405,21.139723,9.159249,34.490314
2026,22.013597,21.517704,9.322253,34.309139
2027,22.31406,22.00931,9.569843,34.33305
2028,22.813046,22.2423,9.726745,34.281425
2029,23.284809,22.368217,9.912656,34.431061
2030,23.772722,22.355875,9.994329,34.682648
2031,24.242025,22.703836,10.063294,34.776176
2032,24.662985,22.850615,10.100393,34.972755
2033,25.055025,22.909641,10.186048,35.227894
2034,25.359873,23.002609,10.230221,35.292473
2035,25.590572,23.103455,10.208444,35.418797
2036,25.81101,23.296661,10.23472,35.69788
2037,26.050108,23.509279,10.266744,35.918816
2038,26.2845,23.66095,10.282744,36.006573
2039,26.458191,23.72621,10.309133,35.993877
2040,26.739231,23.903509,10.328429,36.218399
2041,26.983631,24.018654,10.364106,36.369053
2042,27.115271,24.119461,10.357301,36.426971
2043,27.307508,24.377796,10.361314,36.333942
2044,27.541388,24.673176,10.344401,36.464642
2045,27.672697,24.812284,10.339321,36.603394
2046,27.813835,25.072643,10.340394,36.752514
2047,27.929083,25.200266,10.352539,36.837624
2048,28.009703,25.171709,10.350576,36.969406
2049,28.035252,25.165443,10.358274,36.997345
2050,28.033255,25.095526,10.362251,37.164616
