,sqft,geometry_building_type_recs__Single-Family Attached,geometry_building_type_recs__Single-Family Detached,hvac_cooling_type__Central AC,hvac_cooling_type__Heat Pump,hvac_cooling_type__None,hvac_cooling_type__Room AC,has_pv__No,has_pv__Yes,"clothes_dryer_simp__Electric, 100% Usage",clothes_dryer_simp__None,clothes_dryer_simp__non_Electricity,heating_fuel_simp__Electricity,water_heater_fuel_simp__Electricity,water_heater_fuel_simp__non_Electricity,vintage__1940s,vintage__1950s,vintage__1960s,vintage__1970s,vintage__1980s,vintage__1990s,vintage__2000s,vintage__2010s,vintage__2020s,vintage__lt_1940,"cooking_range_simp__Electric, 100% Usage",cooking_range_simp__None,cooking_range_simp__non_Electricity,panel_amp_pre_bin_7,panel_amp_pre
28365,1065.0,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,200,200.0
28362,1400.0,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,200,200.0
29036,1281.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,200,200.0
28796,1893.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,200,200.0
29227,802.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,200,200.0
27566,1629.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,100,100.0
28608,1801.0,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,200,200.0
27111,1222.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,lt_100,90.0
29223,2014.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,200,200.0
28778,2156.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,200,200.0
27236,1070.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,200,200.0
29232,1218.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,200,200.0
29435,2540.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,200,200.0
27817,537.0,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,125,125.0
28017,2016.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,100,100.0
27512,1728.0,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,200,200.0
28601,2199.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,200,200.0
28707,440.0,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,126-199,150.0
29294,1176.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,200,200.0
29066,1009.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,200,200.0
28412,1100.0,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,200,200.0
27707,1419.0,False,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,200,200.0
28441,2250.0,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,200,200.0
29268,1024.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,201+,225.0
28468,1328.0,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,200,200.0
29147,1300.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,200,200.0
23521,1118.0,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,200,200.0
28279,800.0,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,126-199,150.0
28252,3500.0,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,200,200.0
28532,1348.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,200,200.0
28236,1212.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,200,200.0
28196,728.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,100,100.0
28485,2293.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,200,200.0
27198,1152.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,200,200.0
27549,1153.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,125,125.0
28695,1486.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,200,200.0
29349,720.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,200,200.0
29314,532.0,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,200,200.0
