panel_bin,geometry_unit_cfa_bin,mean,median,mode,count
101-124,1000-1499,120.0,120.0,120.0,2
126-199,0-499,150.0,150.0,150.0,1
126-199,1000-1499,150.0,150.0,150.0,4
126-199,1500-1999,150.0,150.0,150.0,3
126-199,2000-2499,150.0,150.0,150.0,1
126-199,500-749,150.0,150.0,150.0,1
126-199,750-999,150.0,150.0,150.0,1
201+,1000-1499,260.0,225.0,225.0,5
201+,1500-1999,400.0,400.0,400.0,1
201+,2000-2499,237.5,237.5,[225. 250.],2
201+,2500-2999,225.0,225.0,225.0,1
201+,500-749,225.0,225.0,225.0,1
<100,1000-1499,85.0,85.0,[80. 90.],2
<100,1500-1999,90.0,90.0,90.0,1
<100,750-999,83.33333333333333,90.0,90.0,3
