panel_bin,panel_value,count,fraction
100,100.0,65,1.0
101-124,120.0,2,1.0
125,125.0,40,1.0
126-199,150.0,11,1.0
200,200.0,266,1.0
201+,225.0,7,0.7
201+,250.0,1,0.1
201+,400.0,2,0.2
<100,70.0,1,0.16666666666666666
<100,80.0,1,0.16666666666666666
<100,90.0,4,0.6666666666666666
