Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single Family Attached	Option=Single Family Detached	sample_count	sample_weight
AL, 00100	0.015425	0.020868	0.006839	0.032363	0.050725	0.011782	0.127840	0.008896	0.725262	0.000000	0.000000
AL, 00200	0.031778	0.031114	0.005464	0.014546	0.048265	0.009625	0.102366	0.012944	0.743897	0.000000	0.000000
AL, 00301	0.075237	0.010069	0.028571	0.022835	0.050722	0.020889	0.062639	0.024225	0.704813	0.000000	0.000000
AL, 00302	0.044748	0.008274	0.024504	0.028914	0.057805	0.044079	0.062639	0.028223	0.700815	0.000000	0.000000
AL, 00400	0.003012	0.024271	0.003479	0.013922	0.023272	0.001811	0.281748	0.010507	0.637977	0.000000	0.000000
AL, 00500	0.011737	0.020923	0.008830	0.036656	0.038934	0.003497	0.146297	0.005177	0.727950	0.000000	0.000000
AL, 00600	0.014866	0.009540	0.008166	0.027698	0.051865	0.009226	0.191022	0.020017	0.667600	0.000000	0.000000
AL, 00700	0.006951	0.016462	0.009908	0.020547	0.025683	0.002309	0.264401	0.003924	0.649815	0.000000	0.000000
AL, 00800	0.007230	0.012167	0.006779	0.012292	0.019610	0.000832	0.284181	0.009264	0.647644	0.000000	0.000000
AL, 00900	0.011533	0.023182	0.016189	0.022582	0.026194	0.007136	0.145688	0.004640	0.742856	0.000000	0.000000
AL, 01000	0.005796	0.024991	0.005304	0.019725	0.022588	0.006196	0.303660	0.005902	0.605838	0.000000	0.000000
AL, 01100	0.014442	0.016427	0.006296	0.017844	0.039755	0.007639	0.185051	0.024945	0.687602	0.000000	0.000000
AL, 01200	0.028610	0.007156	0.023761	0.006886	0.022826	0.021135	0.087700	0.058291	0.743633	0.000000	0.000000
AL, 01301	0.054605	0.021778	0.019348	0.030324	0.091796	0.027144	0.034482	0.021306	0.699217	0.000000	0.000000
AL, 01302	0.041765	0.010598	0.040541	0.024362	0.067009	0.060719	0.034482	0.060713	0.659810	0.000000	0.000000
AL, 01303	0.065310	0.003679	0.028958	0.028087	0.055728	0.063233	0.034482	0.048674	0.671849	0.000000	0.000000
AL, 01304	0.048357	0.013830	0.032398	0.042404	0.084399	0.023606	0.034482	0.011679	0.708844	0.000000	0.000000
AL, 01305	0.032325	0.047814	0.038196	0.030014	0.067844	0.028802	0.034482	0.008422	0.712102	0.000000	0.000000
AL, 01400	0.003339	0.021187	0.005781	0.025160	0.020249	0.001406	0.304717	0.005322	0.612838	0.000000	0.000000
AL, 01500	0.023558	0.033521	0.009446	0.009794	0.063149	0.051276	0.167566	0.001574	0.640117	0.000000	0.000000
AL, 01600	0.046840	0.015943	0.031055	0.032752	0.053674	0.039029	0.123899	0.033450	0.623357	0.000000	0.000000
AL, 01700	0.005427	0.025037	0.012052	0.039876	0.023599	0.011294	0.345365	0.006115	0.531234	0.000000	0.000000
AL, 01800	0.006011	0.026412	0.002905	0.010712	0.025352	0.011908	0.301607	0.015969	0.599124	0.000000	0.000000
AL, 01900	0.056375	0.044055	0.029632	0.022168	0.039482	0.017472	0.200930	0.024551	0.565334	0.000000	0.000000
AL, 02000	0.043511	0.017856	0.016889	0.041813	0.067945	0.028721	0.053173	0.026748	0.703342	0.000000	0.000000
AL, 02100	0.017138	0.013168	0.014481	0.027081	0.034392	0.001662	0.193693	0.007679	0.690705	0.000000	0.000000
AL, 02200	0.003860	0.010386	0.005473	0.022862	0.030698	0.003300	0.316959	0.004513	0.601950	0.000000	0.000000
AL, 02300	0.003043	0.020921	0.004836	0.023011	0.032971	0.003057	0.234463	0.019116	0.658582	0.000000	0.000000
AL, 02400	0.017896	0.027466	0.011886	0.033263	0.063685	0.004839	0.248222	0.008054	0.584689	0.000000	0.000000
AL, 02500	0.011275	0.017970	0.015562	0.028088	0.024061	0.008142	0.202101	0.015651	0.677151	0.000000	0.000000
