State	elec_fixed_charge	elec_marginal_rate	gas_fixed_charge	gas_marginal_rate	propane_fixed_charge	propane_marginal_rate	oil_fixed_charge	oil_marginal_rate
AL	12	0.1458	12	2.207530507	0	3.245730769	0	4.288807692
AK	12	0.2389	12	1.149807322	0	2.557653846	0	4.288807692
AR	12	0.1223	12	2.183044316	0	2.389769231	0	4.288807692
AZ	12	0.1401	12	1.749277457	0	2.557653846	0	4.288807692
CA	12	0.2892	12	1.781572955	0	2.557653846	0	4.288807692
CO	12	0.1432	12	1.221178548	0	2.349730769	0	4.288807692
CT	12	0.2986	12	2.011560694	0	3.702192308	0	4.165461538
DC	12	0.1635	12	2.11263648	0	3.197538462	0	4.392038462
DE	12	0.1575	12	1.799694926	0	3.4745	0	4.679615385
FL	12	0.1524	12	2.516056519	0	4.729653846	0	4.188769231
GA	12	0.1373	12	2.342164419	0	2.985230769	0	4.188769231
HI	12	0.4236	12	5.116570328	0	2.557653846	0	4.288807692
IA	12	0.1321	12	1.075626204	0	1.752230769	0	3.879384615
ID	12	0.1112	12	1.426300578	0	2.540846154	0	4.288807692
IL	12	0.1582	12	1.359344894	0	1.960307692	0	3.879384615
IN	12	0.1494	12	1.300256904	0	2.440653846	0	3.905692308
KS	12	0.1362	12	1.798843931	0	1.910653846	0	3.879384615
KY	12	0.1249	12	1.887764933	0	2.531615385	0	3.876461538
LA	12	0.1153	12	1.736913937	0	2.830307692	0	4.288807692
MA	12	0.294	12	1.841522158	0	3.472192308	0	4.296076923
MD	12	0.1659	12	1.822495183	0	3.394153846	0	4.460653846
ME	12	0.2746	12	1.937379576	0	3.160615385	0	4.051038462
MI	12	0.187	12	1.233622351	0	2.302692308	0	3.718807692
MN	12	0.1457	12	1.337449641	0	2.007923077	0	4.094346154
MO	12	0.1277	12	1.837887546	0	2.147884615	0	3.879384615
MS	12	0.1342	12	2.092084136	0	2.945884615	0	4.288807692
MT	12	0.1243	12	1.043352601	0	2.213923077	0	4.288807692
NC	12	0.1324	12	1.506743738	0	3.279076923	0	4.076576923
ND	12	0.1097	12	1.919075145	0	1.778615385	0	3.879384615
NE	12	0.1129	12	2.270187423	0	1.720461538	0	3.477807692
NH	12	0.2831	12	1.388166346	0	3.545923077	0	4.343230769
NJ	12	0.1773	12	1.173490687	0	3.265115385	0	4.544346154
NM	12	0.1416	12	1.753050739	0	2.830307692	0	4.288807692
NV	12	0.1667	12	1.976236352	0	2.557653846	0	4.288807692
NY	12	0.2225	12	1.341682723	0	3.330384615	0	4.531192308
OH	12	0.1546	12	1.978805395	0	2.580538462	0	4.027576923
OK	12	0.1228	12	1.982498394	0	2.388961538	0	3.879384615
OR	12	0.1268	12	1.72214194	0	2.557653846	0	4.288807692
PA	12	0.181	12	1.687138728	0	2.857192308	0	4.074423077
RI	12	0.2798	12	2.158638407	0	3.534961538	0	4.275807692
SC	12	0.141	12	1.921323057	0	3.333923077	0	4.188769231
SD	12	0.1225	12	1.133429672	0	1.929730769	0	3.879384615
TN	12	0.1227	12	1.233622351	0	3.165807692	0	3.879384615
TX	12	0.1432	12	2.062780989	0	2.883538462	0	4.288807692
UT	12	0.112	12	1.393224149	0	2.4395	0	4.288807692
VA	12	0.1434	12	1.927825947	0	3.322576923	0	4.276923077
VT	12	0.2081	12	1.824137327	0	3.400307692	0	4.250961538
WA	12	0.1098	12	1.668031471	0	2.557653846	0	4.288807692
WI	12	0.1677	12	1.922179405	0	1.972307692	0	3.600923077
WV	12	0.1407	12	1.141136802	0	3.333923077	0	4.188769231
WY	12	0.1145	12	1.576589595	0	2.348307692	0	4.288807692
