display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Doors Sample Value,Doors Sample Value,true,1.0,ac0c48d6-cb4a-465c-8f93-3d699789bcc2,,0.0,set_doors.sample_value,false,,,false,true,false,0.5,,double,true,set_doors,Set Doors,variable
Vintage Sample Value,Vintage Sample Value,true,1.0,e418b487-0973-4489-9ccf-ec330a686168,,0.0,set_vintage.sample_value,false,,,false,true,false,0.5,,double,true,set_vintage,Set Vintage,variable
Windows,Windows,false,,b81f46b3-9bb6-4e49-8bd4-02ab4ceff8cd,,,res_stock_reporting.Windows,false,,,true,false,false,,,string,false,res_stock_reporting,Res Stock Reporting,output
Eaves,Eaves,false,,b81f46b3-9bb6-4e49-8bd4-02ab4ceff8cd,,,res_stock_reporting.Eaves,false,,,true,false,false,,,string,false,res_stock_reporting,Res Stock Reporting,output
Electricity Exterior Lighting kWh,Electricity Exterior Lighting kWh,false,,2cb9bafe-9f5e-4c1d-b349-9515fe1559d3,,,standard_reports.Electricity Exterior Lighting kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Insulation Slab Sample Value,Insulation Slab Sample Value,true,1.0,8c4cbcc5-ef1b-45c6-8ec0-4f9752308735,,0.0,set_insulation_slab.sample_value,false,,,false,true,false,0.5,,double,true,set_insulation_slab,Set Insulation Slab,variable
Misc Hot Tub Spa Sample Value,Misc Hot Tub Spa Sample Value,true,1.0,1b14d6aa-296b-4617-8f6f-2d59bdfe3e2b,,0.0,set_misc_hot_tub_spa.sample_value,false,,,false,true,false,0.5,,double,true,set_misc_hot_tub_spa,Set Misc Hot Tub Spa,variable
Misc Freezer Sample Value,Misc Freezer Sample Value,true,1.0,ab13c13c-df09-4981-9225-8983b2a7ec85,,0.0,set_misc_freezer.sample_value,false,,,false,true,false,0.5,,double,true,set_misc_freezer,Set Misc Freezer,variable
Insulation Wall,Insulation Wall,false,,b81f46b3-9bb6-4e49-8bd4-02ab4ceff8cd,,,res_stock_reporting.Insulation Wall,false,,,true,false,false,,,string,false,res_stock_reporting,Res Stock Reporting,output
Geometry Garage Sample Value,Geometry Garage Sample Value,true,1.0,c256d91f-6563-455d-8e9d-7a84bf284f9a,,0.0,set_geometry_garage.sample_value,false,,,false,true,false,0.5,,double,true,set_geometry_garage,Set Geometry Garage,variable
HVAC System Combined Sample Value,HVAC System Combined Sample Value,true,1.0,f4cf9296-fa61-4990-8f46-830ee7d3cfcf,,0.0,set_hvac_system_combined.sample_value,false,,,false,true,false,0.5,,double,true,set_hvac_system_combined,Set HVAC System Combined,variable
Wall Sheathing,Wall Sheathing,false,,b81f46b3-9bb6-4e49-8bd4-02ab4ceff8cd,,,res_stock_reporting.Wall Sheathing,false,,,true,false,false,,,string,false,res_stock_reporting,Res Stock Reporting,output
