display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Existing Datapoint Name,Existing Datapoint Name,false,,ab5b0b02-5903-422a-a3c1-0b217d56e684,,,res_stock_reporting.Existing Datapoint Name,false,,,true,false,false,,,string,false,res_stock_reporting,Res Stock Reporting,output
Sample Value,Sample Value,true,1.0,2460eaeb-b985-490b-a893-5aed22ff7077,,0.0,rebuild_existing_models.sample_value,false,,,false,true,false,0.5,,double,true,rebuild_existing_models,Rebuild Existing Models,variable
Total Site Energy MBtu,Total Site Energy MBtu,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Total Site Energy MBtu,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Total Site Electricity kWh,Total Site Electricity kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Total Site Electricity kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Total Site Other Fuel MBtu,Total Site Other Fuel MBtu,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Total Site Other Fuel MBtu,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Total Site Natural Gas therm,Total Site Natural Gas therm,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Total Site Natural Gas therm,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Electricity Heating kWh,Electricity Heating kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Electricity Heating kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Electricity Cooling kWh,Electricity Cooling kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Electricity Cooling kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Electricity Fans kWh,Electricity Fans kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Electricity Fans kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Electricity Interior Lighting kWh,Electricity Interior Lighting kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Electricity Interior Lighting kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Electricity Exterior Lighting kWh,Electricity Exterior Lighting kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Electricity Exterior Lighting kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Electricity Interior Equipment kWh,Electricity Interior Equipment kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Electricity Interior Equipment kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Electricity Pumps kWh,Electricity Pumps kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Electricity Pumps kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Natural Gas Heating therm,Natural Gas Heating therm,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Natural Gas Heating therm,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Electricity Water Systems kWh,Electricity Water Systems kWh,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Electricity Water Systems kWh,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Other Fuel Heating MBtu,Other Fuel Heating MBtu,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Other Fuel Heating MBtu,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Natural Gas Interior Equipment therm,Natural Gas Interior Equipment therm,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Natural Gas Interior Equipment therm,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Natural Gas Water Systems therm,Natural Gas Water Systems therm,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Natural Gas Water Systems therm,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Other Fuel Interior Equipment MBtu,Other Fuel Interior Equipment MBtu,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Other Fuel Interior Equipment MBtu,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
Other Fuel Water Systems MBtu,Other Fuel Water Systems MBtu,false,,4c05b673-5967-48d9-b1b6-1af6bbaba214,,,standard_reports.Other Fuel Water Systems MBtu,false,,,true,false,false,,,string,false,standard_reports,Standard Reports,output
