name,_id,run_start_time,run_end_time,status,status_message,set_clothes_dryer.sample_value,set_clothes_washer.sample_value,set_cooking_range.sample_value,set_cooling_setpoint.sample_value,set_dishwasher.sample_value,set_door_area.sample_value,set_doors.sample_value,set_eaves.sample_value,set_exterior_finish.sample_value,set_floor_covering.sample_value,set_geometry.sample_value,set_geometry_foundation_type.sample_value,set_geometry_garage.sample_value,set_geometry_house_size.sample_value,set_geometry_stories.sample_value,set_heating_fuel.sample_value,set_heating_setpoint.sample_value,set_hot_water_fixtures.sample_value,set_hvac_system_combined.sample_value,set_hvac_system_cooling.sample_value,set_hvac_system_heating.sample_value,set_hvac_system_is_combined.sample_value,set_insulation_crawlspace.sample_value,set_insulation_finished_basement.sample_value,set_insulation_interzonal_floor.sample_value,set_insulation_interzonal_wall.sample_value,set_insulation_slab.sample_value,set_insulation_unfinished_attic.sample_value,set_insulation_unfinished_basement.sample_value,set_insulation_wall.sample_value,set_lighting.sample_value,set_location_epw.sample_value,set_location_region.sample_value,set_misc_extra_refrigerator.sample_value,set_misc_freezer.sample_value,set_misc_gas_fireplace.sample_value,set_misc_gas_grill.sample_value,set_misc_gas_lighting.sample_value,set_misc_hot_tub_spa.sample_value,set_misc_pool.sample_value,set_misc_well_pump.sample_value,set_neighbors.sample_value,set_orientation.sample_value,set_overhangs.sample_value,set_plug_loads.sample_value,set_refrigerator.sample_value,set_roof_material.sample_value,set_thermal_mass_ceiling.sample_value,set_thermal_mass_exterior_wall.sample_value,set_thermal_mass_floor.sample_value,set_thermal_mass_partition_wall.sample_value,set_uninsulated_surfaces.sample_value,set_usage_level.sample_value,set_vintage.sample_value,set_wall_sheathing.sample_value,set_water_heater.sample_value,set_window_areas.sample_value,set_windows.sample_value,res_stock_reporting.Clothes Dryer,res_stock_reporting.Clothes Washer,res_stock_reporting.Cooking Range,res_stock_reporting.Cooling Setpoint,res_stock_reporting.Dishwasher,res_stock_reporting.Door Area,res_stock_reporting.Doors,res_stock_reporting.Eaves,res_stock_reporting.Exterior Finish,res_stock_reporting.Floor Covering,res_stock_reporting.Geometry,res_stock_reporting.Geometry Foundation Type,res_stock_reporting.Geometry Garage,res_stock_reporting.Geometry House Size,res_stock_reporting.Geometry Stories,res_stock_reporting.HVAC System Combined,res_stock_reporting.HVAC System Cooling,res_stock_reporting.HVAC System Heating,res_stock_reporting.HVAC System Is Combined,res_stock_reporting.Heating Fuel,res_stock_reporting.Heating Setpoint,res_stock_reporting.Hot Water Fixtures,res_stock_reporting.Insulation Crawlspace,res_stock_reporting.Insulation Finished Basement,res_stock_reporting.Insulation Interzonal Floor,res_stock_reporting.Insulation Interzonal Wall,res_stock_reporting.Insulation Slab,res_stock_reporting.Insulation Unfinished Attic,res_stock_reporting.Insulation Unfinished Basement,res_stock_reporting.Insulation Wall,res_stock_reporting.Lighting,res_stock_reporting.Location EPW,res_stock_reporting.Location Region,res_stock_reporting.Misc Extra Refrigerator,res_stock_reporting.Misc Freezer,res_stock_reporting.Misc Gas Fireplace,res_stock_reporting.Misc Gas Grill,res_stock_reporting.Misc Gas Lighting,res_stock_reporting.Misc Hot Tub Spa,res_stock_reporting.Misc Pool,res_stock_reporting.Misc Well Pump,res_stock_reporting.Neighbors,res_stock_reporting.Orientation,res_stock_reporting.Overhangs,res_stock_reporting.Plug Loads,res_stock_reporting.Refrigerator,res_stock_reporting.Roof Material,res_stock_reporting.Thermal Mass Ceiling,res_stock_reporting.Thermal Mass Exterior Wall,res_stock_reporting.Thermal Mass Floor,res_stock_reporting.Thermal Mass Partition Wall,res_stock_reporting.Uninsulated Surfaces,res_stock_reporting.Usage Level,res_stock_reporting.Vintage,res_stock_reporting.Wall Sheathing,res_stock_reporting.Water Heater,res_stock_reporting.Window Areas,res_stock_reporting.Windows,standard_reports.Electricity Cooling kWh,standard_reports.Electricity Exterior Lighting kWh,standard_reports.Electricity Fans kWh,standard_reports.Electricity Heating kWh,standard_reports.Electricity Interior Equipment kWh,standard_reports.Electricity Interior Lighting kWh,standard_reports.Electricity Pumps kWh,standard_reports.Electricity Water Systems kWh,standard_reports.Natural Gas Heating therm,standard_reports.Natural Gas Interior Equipment therm,standard_reports.Natural Gas Water Systems therm,standard_reports.Other Fuel Heating MBtu,standard_reports.Other Fuel Interior Equipment MBtu,standard_reports.Other Fuel Water Systems MBtu,standard_reports.Total Site Electricity kWh,standard_reports.Total Site Energy MBtu,standard_reports.Total Site Natural Gas therm,standard_reports.Total Site Other Fuel MBtu
LHS Autogenerated 131,001d8d74-f2c7-4138-a62e-fd29c94bba39,2016-07-01T20:45:00Z,2016-07-01T20:48:06Z,completed,completed normal,0.5284099440155551,0.637643951466307,0.8038235926623456,0.06799288429343142,0.9347932285994757,0.2520991713611875,0.9186209144988097,0.1991179654491134,0.38226174165611154,0.8312695698854513,0.13050355134392158,0.2667850256541278,0.49201986052910796,0.1388894487952348,0.28198446341161615,0.13499439266091212,0.5369951945608482,0.10907140144472942,0.09723271110537463,0.2543241867602337,0.6279731859411113,0.2982420729370788,0.5068137795205694,0.45836243316554465,0.18646086224005556,0.9708422581527848,0.36242046422045676,0.07334413193142973,0.3860278806427959,0.7891323433429934,0.8973544989777729,0.1406856276683975,0.795252375158947,0.43483306154306045,0.47283125883108007,0.4761058730918448,0.056051150972954926,0.4073714718716219,0.12112962416908704,0.5409334980479907,0.5175680889887735,0.008738472081720829,0.7510342303595972,0.9608252124518621,0.5102290217224509,0.21194875591108575,0.8167019826367031,0.25483921979693697,0.9282880970600527,0.04175921450182796,0.16742837668629362,0.9504022533711978,0.4985334260398522,0.5363829029540066,0.371212844457943,0.20109902007691563,0.9058407655719202,0.6899833883126266,"Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",68F,"290 Rated kWh, 100% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,0-1499 sqft; 1 Story; Crawl Foundation; No Garage,Crawl,No,0-1499,1,None,None,Electric Furnace,No,Electricity,70F,100%,"Ceiling R-30, Vented",None,R-13,R-19,None,"Ceiling R-30, Vented",None,R-19,100% Incandescent,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,H2,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,West,None,100%,EF 10.5,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,Medium,1990s,OSB,Electric Standard,F15 B15 L15 R15,"Low-E, Double, Non-metal, Air, M-Gain",0.0,174.53457018055553,57.73780636388889,1664.4404145722222,5055.558333333333,1054.43,0.0,3424.023888888889,0.0,6.1736695883208315,0.0,0.0,0.0,0.0,11430.72501333889,39.62061967368266,6.1736695883208315,0.0
LHS Autogenerated 822,002f2410-05e5-40a5-bf1f-13321692642b,2016-07-01T21:00:53Z,2016-07-01T21:03:54Z,completed,completed normal,0.6775217037298716,0.7100338416586165,0.45918562789680434,0.21028475484694353,0.24201286572148092,0.5427994193921332,0.01254370416724123,0.28873683261545374,0.8175942999487743,0.8232801068935077,0.45902288813586345,0.06271755461138673,0.47138437103736214,0.42969091379479507,0.9698253289142158,0.1262781555298716,0.5505220665258821,0.9540085002828855,0.4728916916316375,0.523585343019804,0.5002774912067689,0.6012465539104305,0.23043814502540044,0.34829235713300294,0.7170951047232375,0.5356133548775688,0.2461079448496457,0.3932627096886281,0.3331088820216246,0.8104096354129724,0.3523143519626465,0.5058718019728549,0.0897164723793976,0.09338225684943609,0.6963224568406585,0.38412356685637494,0.5942492587899324,0.4655599486192223,0.903391902270494,0.2491126298478339,0.8667524922431912,0.10373953918041662,0.4685289345132187,0.34330915938387624,0.00900938795087859,0.0217796122985892,0.5075342847255524,0.6060230395789258,0.10829611612088047,0.3628285845327191,0.1779361423724331,0.6014284816435538,0.9494903293328826,0.5740636664708145,0.512576206598198,0.0889481914031785,0.3331999136020895,0.5256760171889328,"Electric, 100% Usage","EnergyStar, 120% Usage","Electric, 100% Usage",70F,"318 Rated kWh, 120% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,1500-2499 sqft; 3+ Stories; Crawl Foundation; FIXME: Garage,Crawl,Yes,1500-2499,3+,None,None,Electric Baseboard,No,Electricity,70F,200%,"Ceiling R-19, Vented",None,R-19,R-19,None,"Ceiling R-38, Vented",None,R-19,100% CFL,USA_OR_Portland.Intl.AP.726980_TMY3.epw,H1C1 OR,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,South,None,200%,EF 6.7,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,High,1990s,OSB,Electric Standard,F15 B15 L15 R15,"Low-E, Double, Non-metal, Air, M-Gain",0.0,185.9058920027778,0.0,1805.0503256638888,8249.591666666667,909.0158333333334,0.0,6240.838888888889,0.0,7.086934320237392,0.0,0.0,0.0,0.0,17390.402606555555,60.047210182708625,7.086934320237392,0.0
LHS Autogenerated 997,00ff725f-a087-4a33-8408-119f590021ea,2016-07-01T21:06:08Z,2016-07-01T21:08:04Z,completed,completed normal,0.9766292673945427,0.2910634268219583,0.898525043696165,0.4903378457352519,0.46238842742075215,0.2967954405513592,0.48077604116732253,0.867389473230578,0.8233963973512873,0.24060026445612312,0.905676045308588,0.5738846128280275,0.4571702365335077,0.8987971615141723,0.8728553298076149,0.8558483507186174,0.9683864118279889,0.8592039342061617,0.7705072875283658,0.06808549753553234,0.558620562074706,0.49483439954998903,0.7823050922374241,0.2857176712029614,0.028417211609194054,0.012313562261639164,0.843884909861954,0.9539077806558925,0.389668311962625,0.21339052029000596,0.04494530317094177,0.9771542573492042,0.9979846901861019,0.6779377423804254,0.9547669670337345,0.1146516196585726,0.5868746066587046,0.37780170646938493,0.5226684461284894,0.9848641763206105,0.2921966666674707,0.6303004128881731,0.6794494317593053,0.9939385237048846,0.9379509935448878,0.32409045242029244,0.13290573077183218,0.3991537509073969,0.25927238320116885,0.7691098742536269,0.894857974302955,0.9205787701790686,0.18674267065897585,0.8014486002973281,0.170346786738839,0.863371747826226,0.7797533617720473,0.4075851909923367,None,"Standard, 80% Usage","FIXME Propane, 100% Usage",75F,"290 Rated kWh, 80% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,2500-3499 sqft; 3+ Stories; Heated Basement Foundation; No Garage,Heated Basement,No,2500-3499,3+,None,None,None,No,Other Fuel,75F,50%,None,Uninsulated,R-13,R-13,None,"Ceiling R-60, Vented",None,R-13,100% CFL,USA_MT_Missoula.Intl.AP.727730_TMY3.epw,H3,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,East,None,50%,EF 15.9,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,Low,pre-1950,OSB,Electric Standard,F15 B15 L15 R15,"Clear, Double, Thermal-Break, Air",0.0,278.8589081388889,0.0,0.0,2857.605,1256.4675,0.0,2518.037777777778,0.0,41.90277689111408,0.0,0.0,0.0,0.0,6910.969185916667,27.771483373641985,41.90277689111408,0.0
LHS Autogenerated 460,015e475f-fd53-4260-b740-0bd15b68f20e,2016-07-01T20:53:38Z,2016-07-01T20:56:41Z,completed,completed normal,0.30194900934863833,0.31442959310510193,0.3739802026755642,0.008093152461573482,0.11555445794248953,0.9400171877176036,0.31199979899008756,0.07777288511767984,0.36023499806714243,0.10961609169188886,0.6880259825424291,0.848035783025669,0.713883945310954,0.7230407118340955,0.33040798583882863,0.9087787228850648,0.14035722190653904,0.11489996540104039,0.963741457515629,0.13123827771958896,0.6761895205371548,0.527690009770682,0.9043713651588187,0.7079543616420124,0.31075514484755695,0.9546373901977204,0.16003333627060057,0.7457357690765056,0.32338708177302034,0.4913554994852748,0.8893838815183844,0.8413038133119699,0.5002526214872487,0.233417026004754,0.4603343273110222,0.246711105940165,0.7649237117134035,0.16255032315314746,0.8197744447740261,0.22193834810354746,0.47252509694756006,0.6079949273804668,0.8106492102053017,0.1863075823567342,0.9333078628312796,0.08653761680074967,0.6173558399449103,0.6003923641811125,0.9219994113701395,0.9565781059502624,0.132713022792479,0.29285369645780884,0.01133813420170918,0.28732506442908196,0.4045298978718929,0.2060806011520326,0.4537077888508793,0.21328585261176342,"Electric, 100% Usage","Standard, 80% Usage","Electric, 100% Usage",65F,"318 Rated kWh, 80% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,1500-2499 sqft; 1 Story; Heated Basement Foundation; FIXME: Garage,Heated Basement,Yes,1500-2499,1,None,None,None,No,Other Fuel,65F,50%,None,Uninsulated,R-13,Uninsulated,None,"Ceiling R-38, Vented",None,R-13,100% Incandescent,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,H1C1 WA,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,West,None,50%,EF 10.2,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,Low,1970s,OSB,Electric Standard,F15 B15 L15 R15,"Clear, Double, Metal, Air",0.0,349.0688306583333,0.0,0.0,4429.291666666667,1706.8277777777778,0.0,1944.566388888889,0.0,7.086934320237392,0.0,0.0,0.0,0.0,8429.754663991665,29.47221027808415,7.086934320237392,0.0
LHS Autogenerated 217,01d20813-cc26-43c7-a74a-206f3598396b,2016-07-01T20:46:08Z,2016-07-01T20:50:27Z,completed,completed normal,0.25244529129820875,0.5731466642920859,0.19409949486446568,0.31398592205857856,0.20085986692877486,0.9059318688202184,0.0570965183514636,0.8115127541639376,0.12488750360300764,0.35513536955416203,0.7199336110921577,0.41488366945367305,0.21047022532229312,0.6280844104299321,0.212982247448992,0.4425080596401822,0.011077843849780038,0.21753677950846032,0.960532120582182,0.9445200607313309,0.5855021322402172,0.6712136303021107,0.14067071375949308,0.679489899316337,0.9162887839716859,0.08392483017779886,0.33916451237676665,0.9996875191195868,0.9880965863682796,0.7821549603990279,0.34843843851517886,0.5353628424461931,0.7311423019152135,0.3290694908678997,0.4900798290348612,0.11593305105390027,0.4931932537348475,0.8393926077610813,0.8748993410856929,0.06418150478322059,0.9149547481867485,0.6370730053288862,0.3310435508170631,0.9352674369816668,0.7697372367666103,0.03638736775284633,0.975212579080835,0.5992482711393387,0.7994328850912862,0.7844119435315952,0.7138346412684768,0.8652111813160591,0.9974940412789584,0.7672658234839328,0.10787767804553733,0.7189361624489539,0.6942289756673854,0.6837375396909192,"Electric, 100% Usage","EnergyStar, 120% Usage","Electric, 100% Usage",72F,"318 Rated kWh, 120% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,2500-3499 sqft; 1 Story; Crawl Foundation; FIXME: Garage,Crawl,Yes,2500-3499,1,None,"AC, SEER 8","Gas Furnace, 80% AFUE",No,Natural Gas,60F,200%,"Ceiling R-13, Vented",None,R-19,R-13,None,"Ceiling R-49, Vented",None,R-19,100% CFL,USA_OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880_TMY3.epw,H1C3,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,South,None,200%,EF 6.7,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,High,2000s,OSB,Gas Standard,F15 B15 L15 R15,"Clear, Double, Non-metal, Air",2118.1416666666664,278.85868253888884,320.36200556666665,0.0,9496.669444444444,1256.4675,0.0,0.0,10.127956756663407,8.584688480811812,329.4169679613904,0.0,0.0,0.0,13470.499299216668,80.77621279776452,348.1296131988657,0.0
LHS Autogenerated 728,01fbc769-c7da-4b59-a079-900426379120,2016-07-01T21:00:14Z,2016-07-01T21:03:15Z,completed,completed normal,0.9315781909141224,0.3158900517721195,0.30709043438802475,0.4456469958222006,0.9539316612740513,0.22844030455034225,0.5351808981569484,0.646239018750377,0.5324308756734244,0.8118905486683361,0.259991706043249,0.8434659186808858,0.8379001720836387,0.06125732453796081,0.9572562805251218,0.7147431689826772,0.7719064498464577,0.3945495440857485,0.2504380820179358,0.705210531944409,0.6729521315800957,0.9590714984582737,0.02671967831114307,0.9118636251443532,0.9555405205558054,0.3367124576049391,0.6804563880434725,0.19435255940095522,0.36848539678240194,0.2773442646060139,0.44308578156353906,0.05296497294842266,0.577268832832342,0.021778466357151048,0.2956410728651099,0.6645084044109099,0.5534054664957803,0.8407694971552119,0.7696633905698546,0.11925313401198946,0.791231999927666,0.7436851525499951,0.4969656571696978,0.5566304043845739,0.7577721432610415,0.7921104569993913,0.8260306319084484,0.8990312612312846,0.7682583046753425,0.5598259925877209,0.6597245300274808,0.3606463555432856,0.9078362097032369,0.5268309582516085,0.4986448584762402,0.391515703946352,0.14093621343187987,0.4026662850587163,"Gas, 100% Usage","Standard, 120% Usage","Electric, 100% Usage",72F,"290 Rated kWh, 120% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,0-1499 sqft; 3+ Stories; Crawl Foundation; FIXME: Garage,Crawl,Yes,0-1499,3+,None,None,"Gas Furnace, 96% AFUE",No,Natural Gas,70F,200%,"Ceiling R-19, Vented",None,R-19,R-13,None,"Ceiling R-19, Vented",None,R-13,100% Incandescent,USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw,H1C2,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,South,None,200%,EF 15.9,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,High,1980s,OSB,Gas Standard,F15 B15 L15 R15,"Clear, Double, Non-metal, Air",0.0,174.53457018333333,117.36551935277777,0.0,5820.908333333333,1054.4294444444445,0.0,0.0,127.01547847246138,42.88225110324586,293.79487278351894,0.0,0.0,0.0,7167.237867313888,70.82489095751546,463.69260235922616,0.0
LHS Autogenerated 196,02414aa5-0e7f-43e6-a1c4-4754bac68879,2016-07-01T20:46:02Z,2016-07-01T20:49:18Z,completed,completed normal,0.9118559961065185,0.7717475958506111,0.3214967542788945,0.2660909970102366,0.8617144364153501,0.20449958882434294,0.5012075835012365,0.9836435328440275,0.857961601554649,0.1184947256508749,0.06541459956183099,0.22592905263276772,0.11318989768228493,0.566592198000988,0.7889100862967316,0.9033129135144409,0.1180433403768111,0.6370938636464998,0.18186123867379503,0.6951598800430074,0.2081411530135665,0.33551660890714263,0.9459335850069766,0.4381683266616892,0.6788245661554393,0.022844185448018833,0.2064304103180766,0.907123914167285,0.011435417682630941,0.602377218895359,0.3500094386821147,0.6951527627257165,0.43294319733791053,0.925468063418055,0.5808135952062439,0.08003905260702596,0.7859079741907772,0.016738896827446295,0.13427556313481182,0.1699802810754627,0.0628677590074949,0.777545172805665,0.10422162804449908,0.39905407425318845,0.4675155156792607,0.9565314492601902,0.24644212128710932,0.9992400728983339,0.5650230515799485,0.6587068434681278,0.1603100310775917,0.25242515300470403,0.5702232323663775,0.585269436839968,0.3436932465073187,0.8854524881744291,0.658716446012957,0.05846625819709152,"Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",70F,"290 Rated kWh, 100% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,1500-2499 sqft; 3+ Stories; Crawl Foundation; No Garage,Crawl,No,1500-2499,3+,None,None,"Gas Furnace, 80% AFUE",No,Natural Gas,65F,100%,"Ceiling R-30, Vented",None,R-19,R-13,None,"Ceiling R-38, Vented",None,R-19,100% CFL,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,H1C1 WA,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,North,None,100%,EF 15.9,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,Medium,1990s,OSB,Gas Standard,F15 B15 L15 R15,"Clear, Double, Non-metal, Air",0.0,185.90589200000002,93.5733562138889,0.0,5115.747222222222,909.0155555555556,0.0,0.0,93.91003931967745,7.086934320237392,169.48975692228694,0.0,0.0,0.0,6304.242025991666,48.55963973842118,270.4867305622018,0.0
LHS Autogenerated 55,0284f177-f952-43f2-b1fd-ab3175f5973c,2016-07-01T20:43:05Z,2016-07-01T20:48:03Z,completed,completed normal,0.19342390131088905,0.4916503211937379,0.501654461686965,0.6801321731442586,0.2960328195337206,0.5379731843469199,0.9529534275464248,0.6267511601781007,0.4307513500954956,0.8142317035514861,0.7918637263821438,0.811976950521348,0.4126060415471438,0.9530329097837675,0.6798819085606373,0.9861115563497879,0.2633743736604229,0.4114405169505626,0.3698119349943008,0.8711720543310512,0.7060238144691102,0.9162862165593542,0.055626590988365934,0.5895167239669244,0.7467384643612895,0.4040276514675934,0.7664935392576735,0.04725530283944681,0.9108791798560415,0.26661474869889207,0.46594089638628067,0.3819888685992919,0.3378821725407615,0.44895553222019224,0.6592983219085727,0.5379280104339123,0.19698455783422106,0.12107825796562247,0.551256334169535,0.24057673731655813,0.25416423035156915,0.6413188541359268,0.7741347067833413,0.49991994847799653,0.5762795190734323,0.6043940561451018,0.09738872291683219,0.40044608514150604,0.3633720107295085,0.4952196206739172,0.25896469551022167,0.020031901614042,0.9670807923690882,0.05464064241806045,0.6943668613731862,0.8115294269048609,0.760431941463612,0.5296335851892363,"Electric, 100% Usage","EnergyStar, 120% Usage","Electric, 100% Usage",75F,"318 Rated kWh, 120% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,2500-3499 sqft; 3+ Stories; Heated Basement Foundation; No Garage,Heated Basement,No,2500-3499,3+,None,None,None,No,Propane/LPG,68F,200%,None,Uninsulated,Uninsulated,R-13,None,"Ceiling R-13, Vented",None,R-13,100% Incandescent,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,H1C1 WA,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,West,None,200%,EF 15.9,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,High,1950s,OSB,Electric Standard,F15 B15 L15 R15,"Clear, Double, Non-metal, Air",0.0,523.6040001111112,0.0,0.0,8619.961111111112,2359.224722222222,0.0,7824.76388888889,0.0,8.584688480811812,0.0,0.0,0.0,0.0,19327.55372233333,66.80681957057168,8.584688480811812,0.0
LHS Autogenerated 242,033cd430-96fd-4bb1-8827-88888b8cb656,2016-07-01T20:48:08Z,2016-07-01T20:50:55Z,completed,completed normal,0.4947443338532466,0.3592376738861203,0.3524286990878172,0.18667621353943833,0.479671950094169,0.08419657750125042,0.57016252928623,0.4834383868109435,0.6400389896323905,0.7144839773047715,0.10823145322408527,0.013922152341343462,0.9989089935556985,0.10348895540391095,0.28371785156684926,0.06713550733192823,0.15805528340768069,0.04636327076843008,0.6066637473625597,0.5791901697360445,0.016691596481017767,0.06524164748657495,0.25922965147555804,0.9716537355985493,0.5340791356388945,0.3151909404285252,0.3389974667194765,0.21147881937609053,0.02754755369736813,0.09800881064403802,0.38076486965990625,0.11380173916253261,0.6638037551909219,0.27474292829330077,0.14599563800357282,0.5241233377610334,0.14117918328475207,0.8181788307905663,0.3322892869275529,0.1709806799800135,0.7770783501623664,0.5740431015556678,0.7574914340900722,0.36061459153634495,0.11192444861214608,0.62682212398923,0.07832318482385017,0.5384259581593797,0.8648555711500813,0.20949307409930043,0.036201468578539786,0.3184285774799064,0.03773222461692058,0.4047300748534035,0.6128353396756574,0.15941055475384927,0.7322288679794874,0.12608276077592745,"Electric, 100% Usage","EnergyStar, 80% Usage","Electric, 100% Usage",70F,"290 Rated kWh, 80% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,0-1499 sqft; 1 Story; Crawl Foundation; FIXME: Garage,Crawl,Yes,0-1499,1,None,"AC, SEER 10",Electric Furnace,No,Electricity,65F,50%,"Ceiling R-30, Vented",None,R-19,R-13,None,"Ceiling R-19, Vented",None,R-13,100% CFL,USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw,H1C2,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,West,None,50%,EF 15.9,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,Low,1970s,OSB,Electric Standard,F15 B15 L15 R15,"Clear, Double, Metal, Air",1379.0277777777778,92.95294600000001,557.9693893833332,3020.1877875416667,3822.741666666667,561.5638888888889,0.0,1856.1425,0.0,6.1736695883208315,0.0,0.0,0.0,0.0,11290.585956258332,39.1424453625908,6.1736695883208315,0.0
LHS Autogenerated 799,035006f0-cdf0-4457-9797-bec19aa76094,2016-07-01T21:00:34Z,2016-07-01T21:03:54Z,completed,completed normal,0.7962283106062096,0.9528154710547533,0.9722237252953928,0.24545160002494232,0.3517605982287787,0.9545289495305623,0.5874531736478675,0.0686718480552081,0.34349822116456924,0.027315994705539196,0.19397722615697421,0.015893034778768196,0.3402110557472333,0.19530565395532176,0.8267471561669372,0.8246671612602658,0.4384610256636515,0.3908177513615228,0.904216481358977,0.7707386052678339,0.014050018848152832,0.16967850885074587,0.7656251347721554,0.8058425543678459,0.6019393576360308,0.2983219586522318,0.12295637893280946,0.10695322092645801,0.8744583575641737,0.10465357835311442,0.9534989726005588,0.42879041497339493,0.5176226880385075,0.14536329467967152,0.3805212325865868,0.29590477685024963,0.09108029954484664,0.21978949531982653,0.32218327014124953,0.18549476291658357,0.9044644439783879,0.9637524340366944,0.4690753316376358,0.24308266288158484,0.7674302572787274,0.8830197636422236,0.33002742878813296,0.4551718434549402,0.03592234626016579,0.7731737384228036,0.859623692214489,0.725502808357589,0.8466345051359385,0.15218781646294519,0.08741936831315979,0.9589276517371181,0.19485645841713994,0.4959774807083886,"Electric, 100% Usage","EnergyStar, 120% Usage","Gas, 100% Usage",70F,"318 Rated kWh, 120% Usage",20 ft^2,Fiberglass,2 ft,"Vinyl, Light",80% Carpet,0-1499 sqft; 3+ Stories; Crawl Foundation; No Garage,Crawl,No,0-1499,3+,None,None,"Gas Furnace, 76% AFUE",No,Natural Gas,68F,200%,"Uninsulated, Unvented",None,R-19,R-13,None,"Ceiling R-13, Vented",None,R-13,100% Incandescent,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,H1C1 WA,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,Left/Right at 15ft,South,None,200%,EF 15.9,"Asphalt Shingles, Medium",1/2 in. Drywall,1/2 in. Drywall,Wood Surface,1/2 in. Drywall,Uninsulated,High,1960s,OSB,Gas Tankless,F15 B15 L15 R15,"Clear, Double, Thermal-Break, Air",0.0,174.53457018055553,95.33134394166667,0.0,6372.908333333333,1054.43,0.0,64.66632000000001,100.70978080320617,34.707394787741926,265.3445306282102,0.0,0.0,0.0,7761.870567455556,66.56077233608133,400.76170621915827,0.0
