name,_id,run_start_time,run_end_time,status,status_message,rebuild_existing_models.sample_value,attic+windows+lighting_package.run_measure,led_lighting_upgrade.run_measure,r60_attic_insulation_upgrade.run_measure,triple_pane_windows_upgrade.run_measure,res_stock_reporting.Existing Datapoint Name,standard_reports.Electricity Cooling kWh,standard_reports.Electricity Exterior Lighting kWh,standard_reports.Electricity Fans kWh,standard_reports.Electricity Heating kWh,standard_reports.Electricity Interior Equipment kWh,standard_reports.Electricity Interior Lighting kWh,standard_reports.Electricity Pumps kWh,standard_reports.Electricity Water Systems kWh,standard_reports.Natural Gas Heating therm,standard_reports.Natural Gas Interior Equipment therm,standard_reports.Natural Gas Water Systems therm,standard_reports.Other Fuel Heating MBtu,standard_reports.Other Fuel Interior Equipment MBtu,standard_reports.Other Fuel Water Systems MBtu,standard_reports.Total Site Electricity kWh,standard_reports.Total Site Energy MBtu,standard_reports.Total Site Natural Gas therm,standard_reports.Total Site Other Fuel MBtu
diag Autogenerated 4969,000fa5fe-8af6-47ac-a507-3f9d4f16a3e3,2016-07-26T05:30:26Z,2016-07-26T05:32:02Z,completed,completed normal,994.0,0.0,0.0,1.0,0.0,LHS Autogenerated 994,0.0,185.90589199444443,0.0,0.0,7592.477777777778,943.6838888888889,0.0,0.0,0.0,7.086934320237392,323.7808682371593,0.0,0.0,0.0,8722.06755866111,62.847710099601834,330.8678025573967,0.0
diag Autogenerated 1857,00297592-ab3e-4836-8adb-3c68e13b4676,2016-07-26T04:38:28Z,2016-07-26T04:40:27Z,completed,completed normal,372.0,1.0,0.0,0.0,0.0,LHS Autogenerated 372,0.0,80.09461787500001,0.0,0.0,4418.627777777778,483.8821866138889,0.0,3558.803888888889,0.0,34.707394787741926,0.0,0.0,0.0,0.0,8541.408471155557,32.615234928755754,34.707394787741926,0.0
diag Autogenerated 387,002c8795-e530-430d-b47a-6352ae5123fd,2016-07-26T04:17:25Z,2016-07-26T04:19:42Z,completed,completed normal,78.0,1.0,0.0,0.0,0.0,LHS Autogenerated 78,538.8086111111112,160.1892357472222,705.1492293194445,2474.753434538889,5126.397222222222,783.2702777777778,0.0,3661.951388888889,0.0,7.086934320237392,0.0,0.0,0.0,0.0,13450.519399605555,46.6037706626129,7.086934320237392,0.0
diag Autogenerated 706,0031d923-78f1-4426-998e-1d9a6f7b0bc5,2016-07-26T04:22:10Z,2016-07-26T04:24:28Z,completed,completed normal,142.0,0.0,0.0,0.0,0.0,LHS Autogenerated 142,1111.091388888889,349.06937650555557,210.78722222222223,0.0,5373.597222222222,1771.923611111111,0.0,3512.04,0.0,7.086934320237392,0.0,0.0,0.0,0.0,12328.508820949999,42.7753116543723,7.086934320237392,0.0
diag Autogenerated 2289,00346420-c9af-4eb5-89ec-3e788e524c9f,2016-07-26T04:45:35Z,2016-07-26T04:48:32Z,completed,completed normal,458.0,0.0,0.0,1.0,0.0,LHS Autogenerated 458,0.0,174.53457018333333,0.0,0.0,4838.983333333334,1054.4294444444445,0.0,3345.208611111111,0.0,6.1736695883208315,0.0,0.0,0.0,0.0,9413.155959072223,32.7363883059088,6.1736695883208315,0.0
diag Autogenerated 4667,0036f315-3912-48fd-bb5c-3b2f3f6c456e,2016-07-26T05:25:41Z,2016-07-26T05:28:12Z,completed,completed normal,934.0,1.0,0.0,0.0,0.0,LHS Autogenerated 934,1216.9022222222222,469.3543799222222,259.895842625,139.84620725,10560.077777777778,1981.5077777777778,0.0,7934.594444444444,0.0,11.196624040106355,0.0,0.0,0.0,0.0,22562.17865201944,78.10501151663664,11.196624040106355,0.0
diag Autogenerated 2788,003e4cea-e822-4cda-9d30-858e54773838,2016-07-26T04:53:41Z,2016-07-26T04:56:00Z,completed,completed normal,558.0,0.0,1.0,0.0,0.0,LHS Autogenerated 558,0.0,80.09461787500001,92.30477596111112,0.0,4390.650000000001,501.0276535,0.0,0.0,82.34385325237436,34.707394787741926,169.89299623795304,0.0,0.0,0.0,5064.077047336111,45.9737725543901,286.94424427806933,0.0
diag Autogenerated 4991,00506e5e-1a35-433c-a19a-da6affaf9adc,2016-07-26T05:30:43Z,2016-07-26T05:32:07Z,completed,completed normal,999.0,0.0,0.0,0.0,0.0,LHS Autogenerated 999,0.0,185.9058920027778,82.2992403111111,0.0,4015.525,943.6841666666667,0.0,0.0,70.78565815936813,7.086934320237392,107.5738784047844,0.0,0.0,0.0,5227.414298980555,36.38132505159885,185.44647088438992,0.0
diag Autogenerated 3305,0056fc40-483f-4562-848d-3c5a407a59a0,2016-07-26T05:03:18Z,2016-07-26T05:06:04Z,completed,completed normal,661.0,0.0,0.0,0.0,1.0,LHS Autogenerated 661,0.0,278.8589081388889,0.0,0.0,8136.283333333333,1291.1358333333333,0.0,8649.705555555556,0.0,41.90277689111408,0.0,0.0,0.0,0.0,18355.983630361116,66.82349365128154,41.90277689111408,0.0
diag Autogenerated 456,005b049a-356b-432b-960b-131641a1a768,2016-07-26T04:17:51Z,2016-07-26T04:20:12Z,completed,completed normal,92.0,0.0,0.0,0.0,0.0,LHS Autogenerated 92,557.5361111111112,349.0688306583333,708.5258778222222,0.0,4706.041666666667,1771.9227777777778,0.0,3414.887222222222,402.02851368824247,35.62067345219103,0.0,0.0,0.0,0.0,11507.982486258334,83.03178486871262,437.6491871404335,0.0
diag Autogenerated 164,005d2375-3728-49f4-8e1e-d16904667bfc,2016-07-26T04:14:45Z,2016-07-26T04:17:24Z,completed,completed normal,33.0,0.0,0.0,1.0,0.0,LHS Autogenerated 33,451.37444444444446,174.53457018055553,179.86589010555556,0.0,6759.697222222222,1054.43,0.0,7068.877777777778,19.435975781829697,6.1736695883208315,0.0,0.0,0.0,0.0,15688.779904730554,56.0933036229272,25.609645370150528,0.0
diag Autogenerated 4796,006094a8-59f0-423d-8e3a-15a0e170df26,2016-07-26T05:28:08Z,2016-07-26T05:29:47Z,completed,completed normal,960.0,0.0,0.0,0.0,0.0,LHS Autogenerated 960,0.0,349.0689805277778,0.0,0.0,5146.3694444444445,1706.8277777777778,0.0,0.0,0.0,7.086934320237392,182.4334318624217,0.0,0.0,0.0,7202.26620275,43.527188981539474,189.52036618265907,0.0
diag Autogenerated 2558,006f3dd2-db64-472f-a07c-fd124750c4d5,2016-07-26T04:49:37Z,2016-07-26T04:52:20Z,completed,completed normal,512.0,0.0,1.0,0.0,0.0,LHS Autogenerated 512,0.0,160.1892357527778,0.0,0.0,5557.7,783.2705555555556,0.0,3362.792222222222,0.0,7.086934320237392,0.0,0.0,0.0,0.0,9863.952013530556,34.365894764567535,7.086934320237392,0.0
diag Autogenerated 1369,0081480d-0cf1-4a77-b26c-c82c1d72b3ac,2016-07-26T04:31:33Z,2016-07-26T04:34:12Z,completed,completed normal,274.0,0.0,0.0,1.0,0.0,LHS Autogenerated 274,0.0,174.53457018055553,71.045844825,0.0,3847.241666666667,1054.43,0.0,0.0,83.88392970270162,6.1736695883208315,112.10343955373452,0.0,0.0,0.0,5147.252081672223,37.77925700855394,202.16103884475694,0.0
diag Autogenerated 2219,008cda54-9079-4254-aba1-ac86e00ddd6a,2016-07-26T04:44:42Z,2016-07-26T04:46:39Z,completed,completed normal,444.0,0.0,0.0,1.0,0.0,LHS Autogenerated 444,0.0,523.6040001111112,0.0,4862.894621333333,8587.741666666667,2359.224722222222,0.0,7237.205555555556,0.0,8.584688480811812,0.0,0.0,0.0,0.0,23570.67056588889,81.284935206694,8.584688480811812,0.0
