Dependency=AHS Region	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	2020s	0.000000	0.000000	0.000000	1.000000	0.000000	0.0000000	0.0000000	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	2020s	0.000000	0.000000	1.000000	0.000000	0.000000	0.0000000	0.0000000	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	2020s	0.085999	0.120171	0.462042	0.290429	0.041359	0.0000000	0.0000000	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	2020s	0.060261	0.000000	0.000000	0.479418	0.183902	0.0936280	0.1827910	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	2020s	0.012862	0.000000	0.000000	0.033832	0.057281	0.4261750	0.4698500	0.000000	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	2020s	0.127971	0.044420	0.086149	0.348079	0.237222	0.1262910	0.0298680	0.000000	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Multi-Family with 2 - 4 Units	2020s	0.000000	0.000000	0.000000	0.310069	0.379862	0.1550345	0.1550345	0.000000	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Multi-Family with 5+ Units	2020s	0.108472	0.126875	0.295636	0.368778	0.100239	0.0000000	0.0000000	0.000000	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Single-Family Attached	2020s	0.000000	0.000000	0.000000	0.000000	0.670003	0.2549030	0.0750940	0.000000	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Single-Family Detached	2020s	0.000000	0.000000	0.076194	0.000000	0.185938	0.3914595	0.3464085	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Mobile Home	2020s	0.127971	0.044420	0.086149	0.348079	0.237222	0.1262910	0.0298680	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Multi-Family with 2 - 4 Units	2020s	0.000000	0.077281	0.303663	0.420638	0.000000	0.1984180	0.0000000	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Multi-Family with 5+ Units	2020s	0.218873	0.241417	0.380073	0.159637	0.000000	0.0000000	0.0000000	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Single-Family Attached	2020s	0.000000	0.000000	0.000000	0.263714	0.423944	0.0000000	0.3123420	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Single-Family Detached	2020s	0.000000	0.000000	0.000000	0.124695	0.116782	0.3501750	0.4083480	0.000000	0.000000
