Dependency=Location Heating Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	12254285.0897	914	2767562.99	13407.3141025	37105586305.3
H2	3519236.89514	196	540577.43	17955.2902813	9706224675.18
H3	1787494.18937	152	288194.47	11759.8301932	3389118029.83
