Dependency=Location Heating Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	348738.316879	466	1556962.17	748.365486865	1165176752.38
H2	59300.7183488	81	288717.68	732.107633936	211372417.58
H3	80834.1005321	83	148870.02	973.904825688	144985230.878
