Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
Electricity	9146754.402	460	1165761.67	19884.2487	23180294971.2
Fuel Oil	646584.116621	55	150716.48	11756.0748477	1771834219.66
Natural Gas	5480972.80345	600	1887946.2	9134.95467242	17246302961.0
Propane/LPG	260458.502942	19	47043.98	13708.3422601	644894979.119
Wood	1895047.63142	122	328061.01	15533.1773067	5095829835.75
