,build_existing_model.geometry_floor_area,build_existing_model.geometry_building_type_recs,build_existing_model.hvac_cooling_type,build_existing_model.heating_fuel,build_existing_model.water_heater_fuel,build_existing_model.cooking_range,build_existing_model.clothes_dryer,build_existing_model.vintage,100,101-199,200,201+,<100
1,1000-1499,Multi-Family with 2 - 4 Units,None,Fuel Oil,Natural Gas,"Gas, 100% Usage","Gas, 100% Usage",1950s,,,,,
24,3000-3999,Single-Family Detached,None,Other Fuel,Electricity,"Electric, 100% Usage","Electric, 100% Usage",<1940,,,,,
49,2000-2499,Single-Family Detached,Central AC,Fuel Oil,Electricity,"Electric, 120% Usage","Electric, 120% Usage",<1940,,,,,
60,1500-1999,Single-Family Detached,None,Other Fuel,Electricity,"Propane, 80% Usage","Electric, 80% Usage",1980s,,,,,
