Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
<1950	19450.3980571	50	124490.96	389.007961142	48427974.5302
1950s	5701.2817134	23	74206.15	247.881813626	18394355.0442
1960s	11957.5333361	31	95361.13	385.72688181	36783351.3207
1970s	13112.0161962	44	167627.83	298.000368096	49953155.0432
1980s	7008.5712984	20	76041.46	350.42856492	26647099.7022
1990s	22942.3614664	48	136355.23	477.965863884	65173145.302
2000s	28889.9905041	47	131633.79	614.680649023	80912743.4706
