Dependency=Location Cooling Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
C1	2311269.36434	183	446748.94	12629.8872369	5642388735.38
C2	578970.929676	45	247029.25	12866.0206595	3178283433.99
C3	417030.564593	35	111938.36	11915.1589884	1333763356.3
