Dependency=Location Cooling Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
C1	71716.4340226	183	446748.94	391.893082091	175077819.017
C2	21566.4847233	45	247029.25	479.255216073	118390056.585
C3	15779.2338258	35	111938.36	450.835252166	50465758.7576
