Dependency=Location Heating Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	2590914.7523	207	640857.74	12516.4963879	8021293587.89
H2	542026.942509	38	136269.49	14263.8669081	1943729869.0
H3	174329.1638	18	28589.32	9684.95354442	276886236.066
