Dependency=Location Heating Region	Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	Electricity	1654613.28691	97	253859.77	17057.8689372	4330306685.08
H1	Natural Gas	950540.551116	112	392308.49	8486.9692064	3329510074.04
H2	Electricity	366030.218422	15	31214.78	24402.0145615	761703516.093
H2	Natural Gas	187178.25636	24	106247.17	7799.09401501	828631667.659
H3	Electricity	19319.65339	1	2130.88	19319.65339	41167863.0157
H3	Natural Gas	155009.510409	17	26458.44	9118.20649468	241253519.447
