Dependency=Heating Fuel	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
Electricity	2894.48503045	112	286012.97	25.8436163433	7391609.46589
Natural Gas	106167.667541	151	519703.58	703.097136035	365402098.685
