Dependency=Location Heating Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	80125.2957061	207	640857.74	387.078723218	248062395.763
H2	16247.2914647	38	136269.49	427.560301703	58263424.2573
H3	12689.565401	18	28589.32	704.975855611	20154780.3283
