Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
Electricity	2039963.15872	113	287205.43	18052.7713161	5184853948.53
Natural Gas	1292728.31789	153	525014.1	8449.20469207	4435951597.12
