Dependency=Location Heating Region	Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	<1950	487126.651543	46	114539.16	10589.7098161	1212936466.99
H1	1950s	218511.512923	18	42069.21	12139.5284957	510700373.587
H1	1960s	346379.126267	27	90734.66	12828.8565284	1164021935.29
H1	1970s	551256.335999	34	137150.53	16213.421647	2223679372.0
H1	1980s	262048.872315	17	69185.98	15414.639548	1066476943.47
H1	1990s	360819.839112	34	96770.65	10612.3482092	1026963834.23
H1	2000s	364772.414145	31	90407.55	11766.8520692	1063812266.79
H2	<1950	40897.656199	2	5690.04	20448.8280995	116354649.839
H2	1950s	91583.839242	5	32136.94	18316.7678484	588644869.338
H2	1960s	64622.860217	3	3481.8	21540.9534057	75001291.5679
H2	1970s	153471.698153	9	28346.42	17052.4109059	483374801.551
H2	1980s	13454.180429	2	5710.81	6727.0902145	38417134.0679
H2	1990s	103185.012144	10	32047.27	10318.5012144	330679794.412
H2	2000s	74811.6961256	7	28856.21	10687.3851608	308397430.551
H3	<1950	16925.287346	2	4261.76	8462.643673	36065756.2998
H3	1960s	5372.0361332	1	1144.67	5372.0361332	6149208.60059
H3	1970s	19319.65339	1	2130.88	19319.65339	41167863.0157
H3	1980s	4067.8071831	1	1144.67	4067.8071831	4656296.84828
H3	1990s	30694.4372384	4	7537.31	7673.6093096	57838372.1853
H3	2000s	97949.9425088	9	12370.03	10883.3269454	134627080.815
