Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
<1950	544949.595088	50	124490.96	10898.9919018	1356825964.88
1950s	310095.352165	23	74206.15	13482.4066159	1000477487.7
1960s	416374.022617	31	95361.13	13431.4200844	1280835396.76
1970s	724047.687542	44	167627.83	16455.6292623	2758421424.53
1980s	279570.859927	20	76041.46	13978.5429964	1062948818.12
1990s	494699.288494	48	136355.23	10306.2351769	1405309067.99
2000s	537534.05278	47	131633.79	11436.89474	1505481800.46
