upgrade_name,lmi,n_applicable,peak_increase<=-50%,peak_increase<=-25%,peak_increase>=25%,peak_increase>=50%,peak_increase>=75%,peak_increase>=100%,peak_increase>=125%,peak_increase>=150%
Basic enclosure,0-80%,35030.852489495795,0.01861686654864903,0.10355632017686024,0.0,0.0,0.0,0.0,0.0,0.0
Basic enclosure,80-150%,24278.922056403775,0.003957252958399462,0.04487884605093935,0.0,0.0,0.0,0.0,0.0,0.0
Basic enclosure,150%+,18547.99047179035,0.022799669436630293,0.10319891684070626,0.0,0.0,0.0,0.0,0.0,0.0
Enhanced enclosure,0-80%,35397.69513655462,0.029938888477640424,0.11111933608047311,0.0,0.0,0.0,0.0,0.0,0.0
Enhanced enclosure,80-150%,24772.121615227305,0.005852958068254658,0.049415185136499416,0.0,0.0,0.0,0.0,0.0,0.0
Enhanced enclosure,150%+,18811.364679935145,0.028980828509747914,0.11605486920178625,0.0,0.0,0.0,0.0,0.0,0.0
Heat pump water heaters,0-80%,37231.90837184874,0.01642151687897342,0.03612733713374153,0.15899547235320338,0.08072087852508712,0.06097856601058797,0.048169782844988705,0.02189535583863123,0.02189535583863123
Heat pump water heaters,80-150%,25940.023924915888,0.004713984948775936,0.01414195484632781,0.15960250198511586,0.07128768853955153,0.05169670160490943,0.04981110762539906,0.02356992474387968,0.018855939795103745
Heat pump water heaters,150%+,19510.324320882435,,0.006267496139060107,0.116142814435292,0.03477062793501677,0.004534512549337362,0.0015872230482035336,0.0011395447525563832,0.0011395447525563832
"Heat pumps, high-efficiency, electric backup",0-80%,37354.18925420168,0.035027006804311735,0.12952354229507176,0.27075652826816105,0.17101321631683827,0.11439245732041581,0.07807681415837237,0.06534633401142625,0.05281330620961645
"Heat pumps, high-efficiency, electric backup",80-150%,26021.54451315118,0.016760540360638572,0.09103054497607171,0.2946854142930379,0.1820943284396739,0.13704597606455518,0.1048965972020295,0.08801519129945327,0.07959787792063788
"Heat pumps, high-efficiency, electric backup",150%+,19775.26623264714,0.03236045523324397,0.1805937722153035,0.3113399033958222,0.19626790383779374,0.13244997158156332,0.10613846935066278,0.08319895552859104,0.05764823149709485
"Heat pumps, min-efficiency, electric backup",0-80%,37354.18925420168,0.008183880094465358,0.0932962330769051,0.37918904243406787,0.22754304331221117,0.16338142337160272,0.1280010807917839,0.09788959815849708,0.0719973603739124
"Heat pumps, min-efficiency, electric backup",80-150%,26021.54451315118,0.007048825385315287,0.0484466887593892,0.41634017678464774,0.27768840099908315,0.21426575544882967,0.17530492527714528,0.14530080354359573,0.11455819815072057
"Heat pumps, min-efficiency, electric backup",150%+,19775.26623264714,0.01855057943306979,0.13613127230429498,0.45837909171859004,0.30107730583721104,0.23350150205991638,0.18417541496351617,0.1452813672803383,0.1095752631914485
"Heat pumps, min-efficiency, existing heating as backup",0-80%,37354.18925420168,0.008183880094465358,0.0932962330769051,0.35128590839770024,0.19651184843973676,0.1251847868164187,0.09371711833890617,0.06271190403816027,0.040701163669807715
"Heat pumps, min-efficiency, existing heating as backup",80-150%,26021.54451315118,0.007048825385315287,0.0484466887593892,0.36317068726327983,0.22677898112963116,0.1406025613822171,0.11208530305122348,0.08786131585947461,0.06972830579418206
"Heat pumps, min-efficiency, existing heating as backup",150%+,19530.704467941257,0.018782868158236623,0.13843217765973093,0.40344437401952854,0.22610202479991953,0.14730581605819873,0.10454387352312851,0.06949669816579004,0.04390007313924249
"Whole-home electrification, high efficiency",0-80%,37354.18925420168,0.045720610127746475,0.3034011166449729,0.33936732111726853,0.30220471131687726,0.2731792165818401,0.239290158819235,0.21031142911330908,0.18946461835839162
"Whole-home electrification, high efficiency",80-150%,26021.54451315118,0.03338681738060447,0.28800011563035127,0.35100441192674653,0.2967206583364969,0.2595895949785401,0.2388916505219493,0.1968744546093164,0.16091911578181392
"Whole-home electrification, high efficiency",150%+,19775.26623264714,0.09151619186981096,0.3361918670823496,0.332246684281356,0.27960640182038005,0.2358824357987052,0.19909577240906234,0.1683555287324832,0.13158019925458622
"Whole-home electrification, high efficiency + basic enclosure package (packages 1 & 8)",0-80%,37354.18925420168,0.05521391103732629,0.32646666822550097,0.3099053527771932,0.288564911159435,0.27350657178561877,0.21576734917628598,0.20230941302094294,0.17877101503495688
