upgrade_name,peak_increase>=25%,peak_increase>=50%,peak_increase>=75%,peak_increase>=100%,peak_increase>=125%,peak_increase>=150%
Basic enclosure,0.0,0.0,0.0,0.0,0.0,0.0
Enhanced enclosure,0.0,0.0,0.0,0.0,0.0,0.0
"Heat pumps, min-efficiency, electric backup",0.409648498168762,0.26072387428033017,0.1959815380603629,0.1561640795363174,0.12399749395014184,0.09425339779267511
"Heat pumps, high-efficiency, electric backup",0.2878965941797597,0.1804871351116669,0.1257762253856723,0.09314360686874108,0.07668617385021695,0.06234521634682319
"Heat pumps, min-efficiency, existing heating as backup",0.3673033843393397,0.21298239716051415,0.13523507494290618,0.1020327896744726,0.07220378868452605,0.05056539187395764
Heat pump water heaters,0.14907408263341365,0.06691862502796145,0.04474759181292773,0.037692748464254515,0.017523024178188094,0.016044098863916462
"Whole-home electrification, min efficiency",0.556426198990931,0.4155584482921579,0.3509081156226996,0.3033125691970611,0.27726522302923134,0.25084027252860314
"Whole-home electrification, high efficiency",0.34131561503226954,0.29511410368206303,0.2600563832656524,0.22960627656026353,0.1961283173017978,0.16676521769638436
"Whole-home electrification, high efficiency + basic enclosure package (packages 1 & 8)",0.3047928963009012,0.27548873658202977,0.2479270850357827,0.20272340461800206,0.1800134111398979,0.15330882861153147
"Whole-home electrification, high efficiency + enhanced enclosure package (packages 2 & 8)",0.30129648348307764,0.273558452493868,0.24359101216750584,0.20463516932388442,0.17983180308785054,0.14826260804781274
