upgrade_name,n_applicable,peak_increase<=-50%,peak_increase<=-25%,peak_increase>=25%,peak_increase>=50%,peak_increase>=75%,peak_increase>=100%,peak_increase>=125%,peak_increase>=150%
Basic enclosure,77857.0,0.015041924119210261,0.08517337617482963,0.0,0.0,0.0,0.0,0.0,0.0
Enhanced enclosure,78981.0,0.022156249605747882,0.09294160574157247,0.0,0.0,0.0,0.0,0.0,0.0
"Heat pumps, min-efficiency, electric backup",83151.0,0.010294117647058823,0.08944805194805194,0.409648498168762,0.26072387428033017,0.1959815380603629,0.1561640795363174,0.12399749395014184,0.09425339779267511
"Heat pumps, high-efficiency, electric backup",83151.0,0.028676470588235296,0.12962312197606313,0.2878965941797597,0.1804871351116669,0.1257762253856723,0.09314360686874108,0.07668617385021695,0.06234521634682319
"Heat pumps, min-efficiency, existing heating as backup",82906.0,0.01032448377581121,0.08985237967538853,0.3673033843393397,0.21298239716051415,0.13523507494290618,0.1020327896744726,0.07220378868452605,0.05056539187395764
Heat pump water heaters,82682.0,0.008873551885629775,0.02218387971407444,0.14907408263341362,0.06691862502796143,0.04474759181292772,0.03769274846425451,0.01752302417818809,0.01604409886391646
"Whole-home electrification, min efficiency",79792.0,0.0,0.00020433183489987743,0.556426198990931,0.41555844829215793,0.3509081156226997,0.3033125691970612,0.2772652230292314,0.2508402725286032
"Whole-home electrification, high efficiency",83151.0,0.052752100840336144,0.30637989003817745,0.34131561503226954,0.29511410368206303,0.2600563832656524,0.22960627656026353,0.1961283173017978,0.16676521769638436
"Whole-home electrification, high efficiency + basic enclosure package (packages 1 & 8)",83151.0,0.07021008403361345,0.3457493355951266,0.3047928963009012,0.27548873658202977,0.2479270850357827,0.20272340461800206,0.1800134111398979,0.15330882861153147
"Whole-home electrification, high efficiency + enhanced enclosure package (packages 2 & 8)",83151.0,0.07726890756302521,0.3563248163628077,0.30129648348307764,0.273558452493868,0.24359101216750584,0.20463516932388442,0.17983180308785054,0.14826260804781274
