upgrade_name,lmi,n_applicable,220.83 new_load,220.87 load_study,average
Basic enclosure,0-80%,35030.852489495795,0.0,0.0,0.0
Basic enclosure,80-150%,24278.922056403775,0.0,0.0,0.0
Basic enclosure,150%+,18547.99047179035,0.0,0.0,0.0
Enhanced enclosure,0-80%,35397.69513655462,0.0,0.0,0.0
Enhanced enclosure,80-150%,24772.121615227305,0.0,0.0,0.0
Enhanced enclosure,150%+,18811.364679935145,0.0,0.0,0.0
Heat pump water heaters,0-80%,37231.90837184874,0.0069791446735637044,0.01586891980304606,0.011424032238304882
Heat pump water heaters,80-150%,25940.023924915888,0.010017218016148865,0.022776778069958648,0.016396998043053758
Heat pump water heaters,150%+,19510.324320882435,0.01331842929550273,0.03028294959888725,0.021800689447194987
"Heat pumps, high-efficiency, electric backup",0-80%,37354.18925420168,0.7989157216273317,0.41343028106535107,0.6061730013463413
"Heat pumps, high-efficiency, electric backup",80-150%,26021.54451315118,1.146851565584126,0.5934833328024749,0.8701674491933005
"Heat pumps, high-efficiency, electric backup",150%+,19775.26623264714,1.5090997366476242,0.7809428596636219,1.1450212981556231
"Heat pumps, min-efficiency, electric backup",0-80%,37354.18925420168,0.9069963535910329,0.5495869109818239,0.7282916322864283
"Heat pumps, min-efficiency, electric backup",80-150%,26021.54451315118,1.302002401424996,0.7889375465038857,1.0454699739644409
"Heat pumps, min-efficiency, electric backup",150%+,19775.26623264714,1.7132570073305677,1.0381338609012019,1.375695434115885
"Heat pumps, min-efficiency, existing heating as backup",0-80%,37354.18925420168,0.9064342810630825,0.549399850865379,0.7279170659642308
"Heat pumps, min-efficiency, existing heating as backup",80-150%,26021.54451315118,1.3011955406495708,0.7886690198225403,1.0449322802360554
"Heat pumps, min-efficiency, existing heating as backup",150%+,19530.704467941257,1.733635247868544,1.0507755129438412,1.3922053804061925
"Whole-home electrification, high efficiency",0-80%,37354.18925420168,0.9441261296743919,0.8719605636937162,0.9080433466840541
"Whole-home electrification, high efficiency",80-150%,26021.54451315118,1.3553025689874159,1.2517081721246028,1.3035053705560093
"Whole-home electrification, high efficiency",150%+,19775.26623264714,1.78339273478258,1.647076683328951,1.7152347090557654
"Whole-home electrification, high efficiency + basic enclosure package (packages 1 & 8)",0-80%,37354.18925420168,0.686670986849853,0.6208406354982337,0.6537558111740434
"Whole-home electrification, high efficiency + basic enclosure package (packages 1 & 8)",80-150%,26021.54451315118,0.9857231182105819,0.8912229857600968,0.9384730519853394
"Whole-home electrification, high efficiency + basic enclosure package (packages 1 & 8)",150%+,19775.26623264714,1.2970767471040665,1.172727503249168,1.2349021251766172
"Whole-home electrification, high efficiency + enhanced enclosure package (packages 2 & 8)",0-80%,37354.18925420168,0.6439590147702208,0.5954989845881722,0.6197289996791965
"Whole-home electrification, high efficiency + enhanced enclosure package (packages 2 & 8)",80-150%,26021.54451315118,0.9244096520680777,0.8548447906214519,0.8896272213447648
"Whole-home electrification, high efficiency + enhanced enclosure package (packages 2 & 8)",150%+,19775.26623264714,1.2163966151800378,1.1248587760739266,1.1706276956269823
"Whole-home electrification, min efficiency",0-80%,35422.15131302521,0.9769585908787828,0.90876916900366,0.9428638799412214
"Whole-home electrification, min efficiency",80-150%,25328.61951315118,1.3662795564006143,1.2709164428146498,1.318597999607632
"Whole-home electrification, min efficiency",150%+,19041.580938529492,1.8173898031042701,1.6905402506744684,1.7539650268893694
