Dependency=Location Region	Dependency=Water Heater Fuel	Option=AO Smith Split	"Option=Electric Heat Pump, 50 gal, 3.45 UEF"	"Option=Electric Heat Pump, 66 gal, 3.35 UEF"	"Option=Electric Heat Pump, 80 gal"	"Option=Electric Heat Pump, 80 gal, 3.45 UEF"	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	source_count	source_weight	sampling_probability
CR02	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	2.09E+06	0.018926
CR02	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8604.55	0.000104841
CR02	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	3.60E+06	0.0305598
CR02	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	5.14E-05
CR02	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	456234	0.00381311
CR03	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	1.41E+06	0.0139637
CR03	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	1.55E+06	0.0107765
CR03	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	2.32E+06	0.0206153
CR03	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	6.79E-05
CR03	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	217304	0.00312774
CR04	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	4.09E+06	0.0385218
CR04	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8604.55	0.000174314
CR04	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	1.07E+07	0.089424
CR04	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	0.000552138
CR04	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	562794	0.00519218
CR05	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	914022	0.0105924
CR05	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8604.55	5.76E-05
CR05	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	2.63E+06	0.0226998
CR05	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	4.39E-05
CR05	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	340752	0.0022954
CR06	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	2.60E+06	0.0225594
CR06	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8604.55	9.73E-05
CR06	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	1.14E+06	0.0110475
CR06	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	5.73E-05
CR06	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	105576	0.00131771
CR07	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	3.65E+06	0.0329247
CR07	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	1.96E+06	0.0130641
CR07	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804	9.09E+06	0.0799782
CR07	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	0.000105649
CR07	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	498603	0.00431883
CR08	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	8.06E+06	0.0710039
CR08	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8604.55	0.000504938
CR08	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	5.83E+06	0.0528952
CR08	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	0.000106238
CR08	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	436537	0.00388498
CR09	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2089	2.06E+07	0.199544
CR09	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8604.55	0.000172789
CR09	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1030	1.02E+07	0.0843513
CR09	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	0.000890602
CR09	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	824847	0.00745315
CR10	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	1.58E+06	0.0163881
CR10	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8604.55	5.45E-05
CR10	Natural Gas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	2.20E+06	0.0193567
CR10	Other Fuel	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26432.3	0.000143901
CR10	Propane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	193975	0.0017889
CR11	Electricity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	1.31E+06	0.0147046
CR11	Fuel Oil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8604.55	0.00010574
