Bedrooms,Shower Max,Sink Max,ClothesWasher Max,Dishwasher Max,Bath Max,Shower Sum,Sink Sum,ClothesWasher Sum,Dishwasher Sum,Bath Sum,On-time Fraction
1,4.816,3.335,5.028,2.735,7.427,19.10272055,16.68882466,3.297884932,3.008693151,4.566756164,0.026855594
2,4.665,3.326,4.594,2.579,6.65,22.81405205,20.81769863,3.600780822,3.664235616,5.94980274,0.03334532
3,4.083,3.278,4.975,2.779,6.91,26.24088767,24.29216986,4.556512329,4.402717808,7.238115068,0.039665144
4,4.439,3.342,5.032,2.771,7.542,30.64040822,29.01383014,5.427832877,5.173021918,8.160882192,0.046178653
5,4.517,3.328,4.763,2.845,6.845,38.98717534,32.21229589,6.333936986,5.936084932,9.739778082,0.05286758
