Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC
1A	Mobile Home	Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	2020s	1.000000	0.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	2020s	0.774689	0.000000	0.068276	0.157035
1A	Mobile Home	None	2020s	0.774689	0.000000	0.068276	0.157035
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	2020s	0.986285	0.000000	0.010550	0.003165
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2020s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	None	2020s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	2020s	0.986285	0.000000	0.010550	0.003165
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	2020s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	None	2020s	1.000000	0.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	2020s	0.987648	0.000000	0.002691	0.009661
1A	Single-Family Attached	Non-Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	2020s	0.613748	0.000000	0.050334	0.335917
1A	Single-Family Attached	None	2020s	0.613748	0.000000	0.050334	0.335917
1A	Single-Family Detached	Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	2020s	0.987648	0.000000	0.002691	0.009661
1A	Single-Family Detached	Non-Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	2020s	0.613748	0.000000	0.050334	0.335917
1A	Single-Family Detached	None	2020s	0.613748	0.000000	0.050334	0.335917
2A	Mobile Home	Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	2020s	1.000000	0.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	2020s	0.774689	0.000000	0.068276	0.157035
2A	Mobile Home	None	2020s	0.774689	0.000000	0.068276	0.157035
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	2020s	0.986285	0.000000	0.010550	0.003165
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2020s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	None	2020s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heat Pump	2020s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heating	2020s	0.986285	0.000000	0.010550	0.003165
