Dependency=Vintage	Option=1940-59	Option=1960-79	Option=1980-99	Option=2000-09	Option=2010s	Option=<1940	2020s	2030s	2040s	2050s	sample_count	sample_weight
1940s	1	0	0	0	0	0	0	0	0	0	325726	5962000
1950s	1	0	0	0	0	0	0	0	0	0	682471	12666702
1960s	0	1	0	0	0	0	0	0	0	0	671959	12789738
1970s	0	1	0	0	0	0	0	0	0	0	940838	18162936
1980s	0	0	1	0	0	0	0	0	0	0	809675	15911551
1990s	0	0	1	0	0	0	0	0	0	0	844261	16755774
2000s	0	0	0	1	0	0	0	0	0	0	818282	17098592
2010s	0	0	0	0	1	0	0	0	0	0	175635	3924855
<1940	0	0	0	0	0	1	0	0	0	0	828523	14845745
2020s	0	0	0	0	0	0	1	0	0	0	0	0
2030s	0	0	0	0	0	0	0	1	0	0	0	0
2040s	0	0	0	0	0	0	0	0	1	0	0	0
2050s	0	0	0	0	0	0	0	0	0	1	0	0
# Created by: sources\pums\tsv_maker.py												
"# Source: Constructed using 5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org."												
