Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single Family Attached	Option=Single Family Detached	sample_count	sample_weight
AL, 00100	0.013060	0.015948	0.004897	0.034659	0.067308	0.008665	0.230473	0.015470	0.609519	0.000000	0.000000
AL, 00200	0.027694	0.043401	0.000000	0.000000	0.048568	0.010954	0.128392	0.019384	0.721607	0.000000	0.000000
AL, 00301	0.091437	0.000000	0.033654	0.007239	0.047116	0.021462	0.029849	0.038554	0.730689	0.000000	0.000000
AL, 00302	0.042246	0.000000	0.022896	0.008707	0.051920	0.075139	0.029849	0.022436	0.746807	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.005256	0.002830	0.018195	0.000000	0.462482	0.015412	0.495825	0.000000	0.000000
AL, 00500	0.010087	0.000000	0.023537	0.023537	0.033624	0.000000	0.203987	0.005515	0.699713	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.024837	0.094118	0.000000	0.151053	0.000000	0.729992	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.008182	0.017787	0.000000	0.000711	0.435262	0.000000	0.538058	0.000000	0.000000
AL, 00800	0.008268	0.000000	0.006339	0.007717	0.016399	0.000000	0.404122	0.010819	0.546336	0.000000	0.000000
AL, 00900	0.000000	0.037502	0.038674	0.000000	0.025783	0.000000	0.302969	0.000000	0.595072	0.000000	0.000000
AL, 01000	0.000000	0.020365	0.000000	0.008023	0.020571	0.008023	0.544819	0.004544	0.393656	0.000000	0.000000
AL, 01100	0.000000	0.014290	0.000000	0.000000	0.057755	0.008931	0.435328	0.052590	0.431106	0.000000	0.000000
AL, 01200	0.022013	0.010772	0.030326	0.000000	0.021076	0.042855	0.126493	0.051002	0.695463	0.000000	0.000000
AL, 01301	0.055620	0.019585	0.000000	0.018801	0.137876	0.025852	0.057367	0.000000	0.684900	0.000000	0.000000
AL, 01302	0.014516	0.000000	0.040536	0.012325	0.080798	0.109557	0.057367	0.141329	0.543571	0.000000	0.000000
AL, 01303	0.056043	0.000000	0.016943	0.023134	0.035842	0.125771	0.057367	0.042583	0.642317	0.000000	0.000000
AL, 01304	0.013230	0.000000	0.060268	0.071048	0.072518	0.040669	0.057367	0.000000	0.684900	0.000000	0.000000
AL, 01305	0.012252	0.050759	0.062574	0.012252	0.074826	0.045070	0.057367	0.002503	0.682397	0.000000	0.000000
AL, 01400	0.006965	0.000000	0.009452	0.032336	0.000000	0.000995	0.623810	0.000000	0.326443	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.089197	0.074925	0.268069	0.000000	0.567809	0.000000	0.000000
AL, 01600	0.028873	0.005956	0.030690	0.023926	0.040887	0.042199	0.213267	0.039754	0.574447	0.000000	0.000000
AL, 01700	0.003776	0.004279	0.016612	0.004279	0.005034	0.009061	0.758888	0.000000	0.198071	0.000000	0.000000
AL, 01800	0.002772	0.006467	0.000000	0.000000	0.030718	0.023096	0.459173	0.034734	0.443040	0.000000	0.000000
AL, 01900	0.044027	0.034725	0.027698	0.020257	0.029971	0.018293	0.307546	0.016720	0.500763	0.000000	0.000000
AL, 02000	0.060049	0.033460	0.012846	0.046605	0.034655	0.038240	0.120598	0.025117	0.628429	0.000000	0.000000
AL, 02100	0.006556	0.005631	0.013448	0.017482	0.023870	0.001849	0.327772	0.000000	0.603391	0.000000	0.000000
AL, 02200	0.000000	0.006482	0.000000	0.006482	0.037848	0.002927	0.601238	0.000000	0.345022	0.000000	0.000000
AL, 02300	0.000000	0.014682	0.012750	0.025115	0.033228	0.000000	0.392219	0.020733	0.501272	0.000000	0.000000
AL, 02400	0.027512	0.009666	0.022121	0.010967	0.076958	0.003904	0.370726	0.003443	0.474704	0.000000	0.000000
AL, 02500	0.010569	0.003475	0.037063	0.023744	0.013609	0.011872	0.355775	0.009656	0.534237	0.000000	0.000000
AL, 02600	0.025384	0.001724	0.035569	0.013005	0.028048	0.022720	0.276496	0.014628	0.582425	0.000000	0.000000
AL, 02701	0.047543	0.047543	0.038980	0.002953	0.015946	0.019195	0.190520	0.306114	0.331206	0.000000	0.000000
AL, 02702	0.048570	0.006572	0.052418	0.005610	0.043441	0.015549	0.190520	0.000000	0.637320	0.000000	0.000000
AL, 02703	0.031107	0.000000	0.000000	0.019040	0.045856	0.076158	0.190520	0.000000	0.637320	0.000000	0.000000
AR, 00100	0.024023	0.010472	0.017001	0.005174	0.033509	0.006037	0.082924	0.062930	0.757931	0.000000	0.000000
AR, 00200	0.080174	0.011292	0.066624	0.031392	0.030263	0.087176	0.075234	0.016792	0.601053	0.000000	0.000000
AR, 00300	0.000000	0.034570	0.009139	0.022252	0.000000	0.008742	0.332557	0.026428	0.566312	0.000000	0.000000
AR, 00400	0.002148	0.011198	0.003835	0.017181	0.007210	0.002148	0.442134	0.000000	0.514147	0.000000	0.000000
AR, 00500	0.024578	0.022610	0.002544	0.068261	0.013537	0.004176	0.140226	0.012375	0.711693	0.000000	0.000000
AR, 00600	0.000000	0.019101	0.000000	0.020949	0.102280	0.031423	0.253381	0.000000	0.572866	0.000000	0.000000
AR, 00700	0.000000	0.038699	0.000000	0.058048	0.000000	0.000000	0.487666	0.000000	0.415588	0.000000	0.000000
AR, 00800	0.050923	0.021727	0.000000	0.027838	0.012900	0.014258	0.481875	0.006784	0.383695	0.000000	0.000000
AR, 00900	0.113222	0.019465	0.042089	0.019771	0.032306	0.007134	0.120197	0.016367	0.629449	0.000000	0.000000
AR, 01000	0.049824	0.016608	0.036353	0.003691	0.023251	0.104260	0.120197	0.021310	0.624506	0.000000	0.000000
AR, 01100	0.062742	0.010166	0.018953	0.013144	0.033114	0.004284	0.243843	0.013329	0.600425	0.000000	0.000000
AR, 01200	0.029305	0.008490	0.003287	0.004245	0.017254	0.000000	0.231614	0.000000	0.705805	0.000000	0.000000
AR, 01300	0.051834	0.041088	0.000000	0.025917	0.000000	0.000000	0.306275	0.000000	0.574886	0.000000	0.000000
AR, 01400	0.013401	0.077225	0.000000	0.030436	0.048606	0.013855	0.113993	0.020016	0.682469	0.000000	0.000000
AR, 01500	0.019497	0.007629	0.010172	0.002543	0.016106	0.000000	0.448773	0.014944	0.480337	0.000000	0.000000
AR, 01600	0.054699	0.009005	0.013341	0.015342	0.019678	0.018011	0.341241	0.000000	0.528682	0.000000	0.000000
AR, 01700	0.026427	0.004979	0.006766	0.003319	0.011107	0.000000	0.566536	0.000000	0.380865	0.000000	0.000000
AR, 01800	0.028416	0.024693	0.000000	0.000000	0.003136	0.000000	0.608566	0.000000	0.335190	0.000000	0.000000
AR, 01900	0.000000	0.000000	0.018373	0.035648	0.000000	0.000000	0.574588	0.000000	0.371391	0.000000	0.000000
AR, 02000	0.015404	0.000000	0.040563	0.004621	0.036969	0.010269	0.418620	0.000000	0.473554	0.000000	0.000000
AZ, 00100	0.112273	0.000000	0.062703	0.013134	0.016947	0.049993	0.065122	0.004842	0.674986	0.000000	0.000000
AZ, 00101	0.062934	0.000000	0.054102	0.037540	0.058518	0.041956	0.065122	0.058485	0.621344	0.000000	0.000000
AZ, 00102	0.165184	0.007703	0.000000	0.025676	0.000000	0.056488	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00103	0.060652	0.000000	0.073871	0.014774	0.028771	0.076982	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00104	0.000000	0.000000	0.094334	0.080358	0.041926	0.038432	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00105	0.015655	0.011741	0.043052	0.009785	0.071101	0.103716	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00106	0.086198	0.000000	0.007675	0.000000	0.085017	0.076161	0.065122	0.067533	0.612296	0.000000	0.000000
AZ, 00107	0.082106	0.000000	0.051827	0.030279	0.044025	0.046812	0.065122	0.011014	0.668814	0.000000	0.000000
AZ, 00108	0.049220	0.000000	0.032441	0.010347	0.054813	0.108229	0.065122	0.141765	0.538063	0.000000	0.000000
AZ, 00109	0.044449	0.001278	0.030816	0.001562	0.017325	0.159619	0.065122	0.147127	0.532701	0.000000	0.000000
AZ, 00110	0.002723	0.003631	0.032675	0.000000	0.015067	0.200954	0.065122	0.036824	0.643004	0.000000	0.000000
AZ, 00111	0.000000	0.051010	0.000000	0.000000	0.000000	0.204040	0.065122	0.038390	0.641438	0.000000	0.000000
AZ, 00112	0.038747	0.004890	0.056239	0.032540	0.030471	0.092164	0.065122	0.071997	0.607831	0.000000	0.000000
AZ, 00113	0.120391	0.000000	0.017836	0.038347	0.000000	0.078477	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00114	0.026747	0.000000	0.075464	0.071643	0.000000	0.081196	0.065122	0.140654	0.539174	0.000000	0.000000
AZ, 00115	0.030525	0.000000	0.092931	0.042056	0.036630	0.052909	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00116	0.003499	0.003848	0.039535	0.058077	0.052130	0.097962	0.065122	0.078321	0.601507	0.000000	0.000000
AZ, 00117	0.000000	0.000000	0.000000	0.057267	0.000000	0.197783	0.065122	0.040147	0.639681	0.000000	0.000000
AZ, 00118	0.022684	0.000000	0.039077	0.026687	0.045368	0.121235	0.065122	0.087720	0.592108	0.000000	0.000000
AZ, 00119	0.022856	0.034803	0.087787	0.024934	0.027531	0.057140	0.065122	0.087435	0.592394	0.000000	0.000000
AZ, 00120	0.089393	0.000000	0.008752	0.000000	0.076265	0.080641	0.065122	0.026029	0.653799	0.000000	0.000000
AZ, 00121	0.150601	0.058297	0.000000	0.000000	0.000000	0.046152	0.065122	0.004168	0.675660	0.000000	0.000000
AZ, 00122	0.109056	0.019349	0.036938	0.000000	0.089707	0.000000	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00123	0.023380	0.000000	0.063763	0.102020	0.044634	0.021254	0.065122	0.114935	0.564893	0.000000	0.000000
AZ, 00124	0.107783	0.000000	0.048022	0.000000	0.041619	0.057626	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00125	0.000000	0.000000	0.000000	0.000000	0.000000	0.255050	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00126	0.056979	0.000000	0.092252	0.000000	0.058336	0.047483	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00127	0.040445	0.000000	0.009905	0.000000	0.020635	0.184065	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00128	0.000000	0.000000	0.000000	0.255050	0.000000	0.000000	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00129	0.086370	0.000000	0.044661	0.011442	0.058318	0.054258	0.065122	0.012702	0.667126	0.000000	0.000000
AZ, 00130	0.089945	0.000000	0.068999	0.000000	0.000000	0.096106	0.065122	0.035602	0.644226	0.000000	0.000000
AZ, 00131	0.065924	0.000000	0.116718	0.000000	0.018372	0.054036	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00132	0.000000	0.000000	0.014930	0.000000	0.000000	0.240120	0.065122	0.018557	0.661271	0.000000	0.000000
AZ, 00133	0.088616	0.007447	0.004840	0.010425	0.036117	0.107605	0.065122	0.000000	0.679828	0.000000	0.000000
AZ, 00134	0.045778	0.209272	0.000000	0.000000	0.000000	0.000000	0.065122	0.023424	0.656405	0.000000	0.000000
AZ, 00201	0.069859	0.013972	0.119297	0.008598	0.015047	0.013972	0.209340	0.008925	0.540991	0.000000	0.000000
AZ, 00202	0.093105	0.000000	0.051873	0.000000	0.032587	0.063179	0.209340	0.005964	0.543952	0.000000	0.000000
AZ, 00203	0.075015	0.037071	0.003925	0.000000	0.070653	0.054080	0.209340	0.010417	0.539499	0.000000	0.000000
AZ, 00204	0.028598	0.000000	0.042637	0.031718	0.057196	0.080595	0.209340	0.071506	0.478410	0.000000	0.000000
AZ, 00205	0.000000	0.000000	0.000000	0.240744	0.000000	0.000000	0.209340	0.007344	0.542572	0.000000	0.000000
