ParameterName=Garage
Dependency=Vintage	Dependency=House Size	No	Yes
pre-1950	0-1499	0.83	0.17
1950s	0-1499	0.7	0.3
1960s	0-1499	0.63	0.37
1970s	0-1499	0.6	0.4
1980s	0-1499	0.59	0.41
1990s	0-1499	0.66	0.34
2000s	0-1499	0.46	0.54
pre-1950	1500-2499	0.87	0.13
1950s	1500-2499	0.6	0.4
1960s	1500-2499	0.47	0.53
1970s	1500-2499	0.36	0.64
1980s	1500-2499	0.31	0.69
1990s	1500-2499	0.27	0.73
2000s	1500-2499	0.22	0.78
pre-1950	2500-3499	0.84	0.16
1950s	2500-3499	0.57	0.43
1960s	2500-3499	0.33	0.67
1970s	2500-3499	0.29	0.71
1980s	2500-3499	0.19	0.81
1990s	2500-3499	0.18	0.82
2000s	2500-3499	0.11	0.89
pre-1950	3500-4499	0.74	0.26
1950s	3500-4499	0.38	0.62
1960s	3500-4499	0.23	0.77
1970s	3500-4499	0.25	0.75
1980s	3500-4499	0.16	0.84
1990s	3500-4499	0.05	0.95
2000s	3500-4499	0.06	0.94
pre-1950	4500+	0.6	0.4
1950s	4500+	0.34	0.66
1960s	4500+	0.2	0.8
1970s	4500+	0.12	0.88
1980s	4500+	0.01	0.99
1990s	4500+	0.06	0.94
2000s	4500+	0.04	0.96
