Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None
Single-Family Detached	2030s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2030s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2030s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2030s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2030s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2030s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Single-Family Attached	2030s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Multi-Family with 5+ Units	2030s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Mobile Home	2030s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Single-Family Detached	2030s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2030s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2030s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2030s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2030s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2030s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2030s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
