Dependency=PUMA	Dependency=Geometry Building Type RECS	Option=Occupied	Option=Vacant
AL, 00100	Mobile Home	1.000000	0.000000
AL, 00100	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00100	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00100	Single-Family Attached	1.000000	0.000000
AL, 00100	Single-Family Detached	1.000000	0.000000
AL, 00200	Mobile Home	1.000000	0.000000
AL, 00200	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00200	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00200	Single-Family Attached	1.000000	0.000000
AL, 00200	Single-Family Detached	1.000000	0.000000
AL, 00301	Mobile Home	1.000000	0.000000
AL, 00301	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00301	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00301	Single-Family Attached	1.000000	0.000000
AL, 00301	Single-Family Detached	1.000000	0.000000
AL, 00302	Mobile Home	1.000000	0.000000
AL, 00302	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00302	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00302	Single-Family Attached	1.000000	0.000000
AL, 00302	Single-Family Detached	1.000000	0.000000
AL, 00400	Mobile Home	1.000000	0.000000
AL, 00400	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00400	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00400	Single-Family Attached	1.000000	0.000000
AL, 00400	Single-Family Detached	1.000000	0.000000
AL, 00500	Mobile Home	1.000000	0.000000
AL, 00500	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00500	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00500	Single-Family Attached	1.000000	0.000000
AL, 00500	Single-Family Detached	1.000000	0.000000
AL, 00600	Mobile Home	1.000000	0.000000
AL, 00600	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00600	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00600	Single-Family Attached	1.000000	0.000000
AL, 00600	Single-Family Detached	1.000000	0.000000
AL, 00700	Mobile Home	1.000000	0.000000
AL, 00700	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00700	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00700	Single-Family Attached	1.000000	0.000000
AL, 00700	Single-Family Detached	1.000000	0.000000
AL, 00800	Mobile Home	1.000000	0.000000
AL, 00800	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00800	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00800	Single-Family Attached	1.000000	0.000000
AL, 00800	Single-Family Detached	1.000000	0.000000
AL, 00900	Mobile Home	1.000000	0.000000
AL, 00900	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 00900	Multi-Family with 5+ Units	1.000000	0.000000
AL, 00900	Single-Family Attached	1.000000	0.000000
AL, 00900	Single-Family Detached	1.000000	0.000000
AL, 01000	Mobile Home	1.000000	0.000000
AL, 01000	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01000	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01000	Single-Family Attached	1.000000	0.000000
AL, 01000	Single-Family Detached	1.000000	0.000000
AL, 01100	Mobile Home	1.000000	0.000000
AL, 01100	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01100	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01100	Single-Family Attached	1.000000	0.000000
AL, 01100	Single-Family Detached	1.000000	0.000000
AL, 01200	Mobile Home	1.000000	0.000000
AL, 01200	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01200	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01200	Single-Family Attached	1.000000	0.000000
AL, 01200	Single-Family Detached	1.000000	0.000000
AL, 01301	Mobile Home	1.000000	0.000000
AL, 01301	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01301	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01301	Single-Family Attached	1.000000	0.000000
AL, 01301	Single-Family Detached	1.000000	0.000000
AL, 01302	Mobile Home	1.000000	0.000000
AL, 01302	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01302	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01302	Single-Family Attached	1.000000	0.000000
AL, 01302	Single-Family Detached	1.000000	0.000000
AL, 01303	Mobile Home	1.000000	0.000000
AL, 01303	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01303	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01303	Single-Family Attached	1.000000	0.000000
AL, 01303	Single-Family Detached	1.000000	0.000000
AL, 01304	Mobile Home	1.000000	0.000000
AL, 01304	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01304	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01304	Single-Family Attached	1.000000	0.000000
AL, 01304	Single-Family Detached	1.000000	0.000000
AL, 01305	Mobile Home	1.000000	0.000000
AL, 01305	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01305	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01305	Single-Family Attached	1.000000	0.000000
AL, 01305	Single-Family Detached	1.000000	0.000000
AL, 01400	Mobile Home	1.000000	0.000000
AL, 01400	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01400	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01400	Single-Family Attached	1.000000	0.000000
AL, 01400	Single-Family Detached	1.000000	0.000000
AL, 01500	Mobile Home	1.000000	0.000000
AL, 01500	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01500	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01500	Single-Family Attached	1.000000	0.000000
AL, 01500	Single-Family Detached	1.000000	0.000000
AL, 01600	Mobile Home	1.000000	0.000000
AL, 01600	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01600	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01600	Single-Family Attached	1.000000	0.000000
AL, 01600	Single-Family Detached	1.000000	0.000000
AL, 01700	Mobile Home	1.000000	0.000000
AL, 01700	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01700	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01700	Single-Family Attached	1.000000	0.000000
AL, 01700	Single-Family Detached	1.000000	0.000000
AL, 01800	Mobile Home	1.000000	0.000000
AL, 01800	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01800	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01800	Single-Family Attached	1.000000	0.000000
AL, 01800	Single-Family Detached	1.000000	0.000000
AL, 01900	Mobile Home	1.000000	0.000000
AL, 01900	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 01900	Multi-Family with 5+ Units	1.000000	0.000000
AL, 01900	Single-Family Attached	1.000000	0.000000
AL, 01900	Single-Family Detached	1.000000	0.000000
AL, 02000	Mobile Home	1.000000	0.000000
