Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single Family Attached	Option=Single Family Detached	sample_count	sample_weight
AL, 00100	 0.014809	0.018085	 0.005554	 0.039302	 0.076325	0.009825	0.200106	0.015742	0.620251	0.000000	0.000000
AL, 00200	 0.057404	0.089962	 0.000000	 0.000000	 0.100672	0.022705	0.113023	0.016120	0.600114	0.000000	0.000000
AL, 00301	 0.167669	0.000000	 0.061712	 0.013274	 0.086396	0.039356	0.059777	0.028659	0.543157	0.000000	0.000000
AL, 00302	 0.077466	0.000000	 0.041985	 0.015966	 0.095206	0.137783	0.059777	0.016678	0.555138	0.000000	0.000000
AL, 00400	 0.000000	0.000000	 0.007514	 0.004046	 0.026010	0.000000	0.485942	0.014364	0.462124	0.000000	0.000000
AL, 00500	 0.018877	0.000000	 0.044045	 0.044045	 0.062922	0.000000	0.176587	0.005111	0.648414	0.000000	0.000000
AL, 00600	 0.000000	0.000000	 0.000000	 0.028144	 0.106651	0.000000	0.265033	0.000000	0.600173	0.000000	0.000000
AL, 00700	 0.000000	0.000000	 0.008757	 0.019037	 0.000000	0.000761	0.379764	0.000000	0.591681	0.000000	0.000000
AL, 00800	 0.027185	0.000000	 0.020842	 0.025373	 0.053918	0.000000	0.358489	0.009984	0.504208	0.000000	0.000000
AL, 00900	 0.000000	0.045645	 0.047072	 0.000000	 0.031381	0.000000	0.281199	0.000000	0.594703	0.000000	0.000000
AL, 01000	 0.000000	0.025765	 0.000000	 0.010150	 0.026025	0.010150	0.534345	0.004491	0.389075	0.000000	0.000000
AL, 01100	 0.000000	0.016271	 0.000000	 0.000000	 0.065761	0.010169	0.532647	0.040788	0.334364	0.000000	0.000000
AL, 01200	 0.047539	0.023264	 0.065492	 0.000000	 0.045516	0.092549	0.102878	0.042550	0.580212	0.000000	0.000000
AL, 01301	 0.060424	0.021276	 0.000000	 0.020425	 0.149783	0.028084	0.053538	0.000000	0.666471	0.000000	0.000000
AL, 01302	 0.015770	0.000000	 0.044037	 0.013390	 0.087776	0.119019	0.053538	0.137526	0.528945	0.000000	0.000000
AL, 01303	 0.060883	0.000000	 0.018407	 0.025132	 0.038937	0.136633	0.053538	0.041437	0.625034	0.000000	0.000000
AL, 01304	 0.014372	0.000000	 0.065473	 0.077184	 0.078781	0.044181	0.053538	0.000000	0.666471	0.000000	0.000000
AL, 01305	 0.013310	0.055143	 0.067977	 0.013310	 0.081288	0.048963	0.053538	0.002435	0.664036	0.000000	0.000000
AL, 01400	 0.009164	0.000000	 0.012437	 0.042548	 0.000000	0.001309	0.623804	0.000000	0.310738	0.000000	0.000000
