Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated, Vented	Option=Wall R-5, Unvented	Option=Wall R-10, Unvented	Option=Wall R-15, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=None
CR02	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2050s	Crawl	Single-Family Detached	0.000000	0.000000	0.175000	0.175000	0.115000	0.535000	0.000000
CR09	2050s	Crawl	Single-Family Detached	0.000000	0.050000	0.020000	0.070000	0.255000	0.605000	0.000000
CR10	2050s	Crawl	Single-Family Detached	0.000000	0.050000	0.025000	0.075000	0.165000	0.685000	0.000000
CR11	2050s	Crawl	Single-Family Detached	0.000000	0.035000	0.045000	0.080000	0.045000	0.795000	0.000000
CR02	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2050s	Crawl	Single-Family Attached	0.000000	0.000000	0.175000	0.175000	0.115000	0.535000	0.000000
CR09	2050s	Crawl	Single-Family Attached	0.000000	0.050000	0.020000	0.070000	0.255000	0.605000	0.000000
CR10	2050s	Crawl	Single-Family Attached	0.000000	0.050000	0.025000	0.075000	0.165000	0.685000	0.000000
CR11	2050s	Crawl	Single-Family Attached	0.000000	0.035000	0.045000	0.080000	0.045000	0.795000	0.000000
CR02	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2050s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2050s	Crawl	Mobile Home	0.000000	0.000000	0.175000	0.175000	0.115000	0.535000	0.000000
CR09	2050s	Crawl	Mobile Home	0.000000	0.050000	0.020000	0.070000	0.255000	0.605000	0.000000
CR10	2050s	Crawl	Mobile Home	0.000000	0.050000	0.025000	0.075000	0.165000	0.685000	0.000000
CR11	2050s	Crawl	Mobile Home	0.000000	0.035000	0.045000	0.080000	0.045000	0.795000	0.000000
CR02	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.175000	0.175000	0.115000	0.535000	0.000000
CR09	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.050000	0.020000	0.070000	0.255000	0.605000	0.000000
CR10	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.050000	0.025000	0.075000	0.165000	0.685000	0.000000
CR11	2050s	Crawl	Multi-Family with 5+ Units	0.000000	0.035000	0.045000	0.080000	0.045000	0.795000	0.000000
CR02	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.175000	0.175000	0.115000	0.535000	0.000000
CR09	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.050000	0.020000	0.070000	0.255000	0.605000	0.000000
CR10	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.050000	0.025000	0.075000	0.165000	0.685000	0.000000
CR11	2050s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.035000	0.045000	0.080000	0.045000	0.795000	0.000000
CR02	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2050s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2050s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2050s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2050s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
