Dependency=Geometry Floor Area	Option=0-1499	Option=1500-2499	Option=2500-3999	Option=4000+	sample_count	sample_weight
0-499	1.000000	0.000000	0.000000	0.000000	755.000000	7159052.000000
1000-1499	1.000000	0.000000	0.000000	0.000000	2819.000000	26758210.000000
1500-1999	0.000000	1.000000	0.000000	0.000000	2047.000000	18773672.000000
2000-2499	0.000000	1.000000	0.000000	0.000000	1367.000000	12671309.000000
2500-2999	0.000000	0.000000	1.000000	0.000000	815.000000	7298948.500000
3000-3999	0.000000	0.000000	1.000000	0.000000	869.000000	7868818.500000
4000+	0.000000	0.000000	0.000000	1.000000	590.000000	5095300.000000
500-749	1.000000	0.000000	0.000000	0.000000	1155.000000	12022662.000000
750-999	1.000000	0.000000	0.000000	0.000000	1567.000000	15086779.000000
# Created by: sources\recs\2009\tsv_maker.py
# Source: The sample counts and sample weights are constructed using U.S. EIA 2009             Residential Energy Consumption Survey (RECS) microdata.
# Source: Geometry Floor Area bins are from the UNITSIZE field of the 2017 American Housing Survey (AHS).
