Size	Mean	Median	Weighted Mean
0-1499	1021.00166205	1110.0	1024.00111484
1500-2499	1908.33302282	1904.0	1901.71900526
2500-3499	2893.2231738	2890.0	2886.27469749
3500+	4629.47419987	4262.0	4624.87761989
