Dependency=Vintage	Option=Uninsulated, TrunkBranch, Copper	Option=Uninsulated, HomeRun, PEX	Option=R-2, HomeRun, PEX
<1940	1.000000	0.000000	0.000000
1940s	1.000000	0.000000	0.000000
1950s	1.000000	0.000000	0.000000
1960s	1.000000	0.000000	0.000000
1970s	1.000000	0.000000	0.000000
1980s	1.000000	0.000000	0.000000
1990s	1.000000	0.000000	0.000000
2000s	0.000000	1.000000	0.000000
2010s	0.000000	1.000000	0.000000
2020s	0.000000	0.750000	0.250000
2030s	0.000000	0.500000	0.500000
2040s	0.000000	0.000000	1.000000
2050s	0.000000	0.000000	1.000000
