Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.013423	0.016391	0.005034	0.035622	0.069178	0.008905	0.262655	0.014574	0.574218	0.000000	0.000000
AL, 00200	0.029767	0.046650	0.000000	0.000000	0.052204	0.011774	0.164002	0.018196	0.677407	0.000000	0.000000
AL, 00301	0.108037	0.000000	0.039763	0.008553	0.055669	0.025359	0.092636	0.033579	0.636404	0.000000	0.000000
AL, 00302	0.049915	0.000000	0.027053	0.010288	0.061346	0.088780	0.092636	0.019541	0.650442	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.008965	0.004827	0.031033	0.000000	0.717258	0.007172	0.230745	0.000000	0.000000
AL, 00500	0.014430	0.000000	0.033670	0.033670	0.048100	0.000000	0.257038	0.004794	0.608298	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.026367	0.099917	0.000000	0.460123	0.000000	0.413592	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.010936	0.023775	0.000000	0.000951	0.505425	0.000000	0.458913	0.000000	0.000000
AL, 00800	0.012679	0.000000	0.009721	0.011834	0.025147	0.000000	0.445324	0.009617	0.485678	0.000000	0.000000
AL, 00900	0.000000	0.040307	0.041567	0.000000	0.027711	0.000000	0.374705	0.000000	0.515710	0.000000	0.000000
AL, 01000	0.000000	0.021459	0.000000	0.008454	0.021676	0.008454	0.674933	0.003024	0.262001	0.000000	0.000000
AL, 01100	0.000000	0.002580	0.000000	0.000000	0.010429	0.001613	0.985378	0.000000	0.000000	0.000000	0.000000
AL, 01200	0.022073	0.010802	0.030410	0.000000	0.021134	0.042973	0.149629	0.049398	0.673582	0.000000	0.000000
AL, 01301	0.060944	0.021459	0.000000	0.020601	0.151074	0.028326	0.085388	0.000000	0.632207	0.000000	0.000000
AL, 01302	0.015906	0.000000	0.044416	0.013505	0.088533	0.120044	0.085388	0.130455	0.501752	0.000000	0.000000
AL, 01303	0.061408	0.000000	0.018565	0.025349	0.039272	0.137811	0.085388	0.039307	0.592901	0.000000	0.000000
AL, 01304	0.014496	0.000000	0.066038	0.077849	0.079460	0.044562	0.085388	0.000000	0.632207	0.000000	0.000000
AL, 01305	0.013425	0.055618	0.068563	0.013425	0.081988	0.049385	0.085388	0.002310	0.629897	0.000000	0.000000
AL, 01400	0.006744	0.000000	0.009152	0.031311	0.000000	0.000963	0.766222	0.000000	0.185608	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.100696	0.084585	0.247393	0.000000	0.567326	0.000000	0.000000
AL, 01600	0.035824	0.007390	0.038079	0.029686	0.050730	0.052358	0.191736	0.038459	0.555737	0.000000	0.000000
AL, 01700	0.007848	0.008894	0.034531	0.008894	0.010464	0.018835	0.693114	0.000000	0.217420	0.000000	0.000000
AL, 01800	0.003421	0.007981	0.000000	0.000000	0.037911	0.028505	0.662514	0.018878	0.240790	0.000000	0.000000
AL, 01900	0.051879	0.040918	0.032637	0.023869	0.035316	0.021555	0.276009	0.016731	0.501085	0.000000	0.000000
AL, 02000	0.067752	0.037752	0.014494	0.052584	0.039101	0.043145	0.148352	0.022937	0.573882	0.000000	0.000000
AL, 02100	0.009582	0.008230	0.019655	0.025551	0.034887	0.002702	0.344676	0.000000	0.554717	0.000000	0.000000
AL, 02200	0.000000	0.007186	0.000000	0.007186	0.041957	0.003245	0.726205	0.000000	0.214220	0.000000	0.000000
AL, 02300	0.000000	0.013985	0.012145	0.023922	0.031651	0.000000	0.457627	0.018297	0.442373	0.000000	0.000000
AL, 02400	0.030474	0.010707	0.024503	0.012149	0.085246	0.004324	0.293970	0.003878	0.534748	0.000000	0.000000
AL, 02500	0.012522	0.004117	0.043914	0.028133	0.016125	0.014066	0.348287	0.009460	0.523375	0.000000	0.000000
AL, 02600	0.025749	0.001748	0.036081	0.013192	0.028451	0.023047	0.212373	0.016155	0.643203	0.000000	0.000000
AL, 02701	0.049985	0.049985	0.040982	0.003105	0.016765	0.020180	0.250167	0.273218	0.295613	0.000000	0.000000
AL, 02702	0.051065	0.006910	0.055110	0.005899	0.045672	0.016348	0.250167	0.000000	0.568831	0.000000	0.000000
AL, 02703	0.032704	0.000000	0.000000	0.020017	0.048211	0.080070	0.250167	0.000000	0.568831	0.000000	0.000000
AR, 00100	0.040453	0.017634	0.028629	0.008713	0.056427	0.010165	0.081924	0.057962	0.698093	0.000000	0.000000
AR, 00200	0.081856	0.011529	0.068021	0.032051	0.030898	0.089004	0.075603	0.016607	0.594432	0.000000	0.000000
AR, 00300	0.000000	0.039040	0.010321	0.025129	0.000000	0.009872	0.329915	0.026115	0.559609	0.000000	0.000000
AR, 00400	0.002662	0.013883	0.004754	0.021300	0.008938	0.002662	0.482069	0.000000	0.463732	0.000000	0.000000
AR, 00500	0.039902	0.036707	0.004130	0.110821	0.021977	0.006780	0.148065	0.010795	0.620822	0.000000	0.000000
AR, 00600	0.000000	0.023876	0.000000	0.026186	0.127850	0.039279	0.246484	0.000000	0.536326	0.000000	0.000000
AR, 00700	0.000000	0.044950	0.000000	0.067425	0.000000	0.000000	0.528307	0.000000	0.359318	0.000000	0.000000
AR, 00800	0.055941	0.023868	0.000000	0.030581	0.014172	0.015664	0.377601	0.008377	0.473797	0.000000	0.000000
AR, 00900	0.137480	0.023635	0.051106	0.024006	0.039227	0.008662	0.107530	0.015418	0.592936	0.000000	0.000000
AR, 01000	0.060498	0.020166	0.044141	0.004481	0.028232	0.126598	0.107530	0.020074	0.588280	0.000000	0.000000
AR, 01100	0.077760	0.012600	0.023490	0.016290	0.041040	0.005310	0.216324	0.013186	0.594001	0.000000	0.000000
AR, 01200	0.040397	0.011704	0.004531	0.005852	0.023785	0.000000	0.264096	0.000000	0.649635	0.000000	0.000000
AR, 01300	0.059883	0.047468	0.000000	0.029942	0.000000	0.000000	0.275212	0.000000	0.587495	0.000000	0.000000
AR, 01400	0.016826	0.096962	0.000000	0.038215	0.061029	0.017396	0.117890	0.018568	0.633114	0.000000	0.000000
