Dependency=Geometry Building Type RECS	Dependency=Usage Level	Option=EF 6.7	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 19.9	Option=EF 21.9
Mobile Home	Average	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Multi-Family with 2 - 4 Units	Medium	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Multi-Family with 5+ Units	Low	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Single-Family Attached	High	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Single-Family Detached	Average	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Mobile Home	Medium	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Multi-Family with 2 - 4 Units	Low	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Multi-Family with 5+ Units	High	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Single-Family Attached	Average	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Single-Family Detached	Medium	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Mobile Home	Low	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Multi-Family with 2 - 4 Units	High	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Multi-Family with 5+ Units	Average	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Single-Family Attached	Medium	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Single-Family Detached	Low	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Mobile Home	High	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Multi-Family with 2 - 4 Units	Average	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Multi-Family with 5+ Units	Medium	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Single-Family Attached	Low	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
Single-Family Detached	High	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.600000
