Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.014397	0.017580	0.005399	0.038206	0.074198	0.009552	0.226243	0.015209	0.599217	0.000000	0.000000
AL, 00200	0.062293	0.097624	0.000000	0.000000	0.109246	0.024638	0.135541	0.014928	0.555730	0.000000	0.000000
AL, 00301	0.181851	0.000000	0.066931	0.014397	0.093704	0.042684	0.062023	0.026985	0.511425	0.000000	0.000000
AL, 00302	0.084018	0.000000	0.045536	0.017317	0.103259	0.149437	0.062023	0.015704	0.522706	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.003539	0.001906	0.012252	0.000000	0.507481	0.014314	0.460508	0.000000	0.000000
AL, 00500	0.016282	0.000000	0.037991	0.037991	0.054272	0.000000	0.216203	0.004983	0.632278	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.027846	0.105522	0.000000	0.150238	0.000000	0.716395	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.007126	0.015492	0.000000	0.000620	0.416019	0.000000	0.560742	0.000000	0.000000
AL, 00800	0.045556	0.000000	0.034926	0.042519	0.090352	0.000000	0.403704	0.007436	0.375507	0.000000	0.000000
AL, 00900	0.000000	0.039410	0.040641	0.000000	0.027094	0.000000	0.312733	0.000000	0.580121	0.000000	0.000000
AL, 01000	0.000000	0.022238	0.000000	0.008760	0.022462	0.008760	0.564193	0.004263	0.369323	0.000000	0.000000
AL, 01100	0.000000	0.014001	0.000000	0.000000	0.056587	0.008750	0.468436	0.049168	0.403058	0.000000	0.000000
AL, 01200	0.053165	0.026017	0.073243	0.000000	0.050902	0.103502	0.132600	0.038301	0.522271	0.000000	0.000000
AL, 01301	0.058181	0.020486	0.000000	0.019667	0.144224	0.027042	0.057256	0.000000	0.673142	0.000000	0.000000
AL, 01302	0.015185	0.000000	0.042403	0.012893	0.084519	0.114602	0.057256	0.138902	0.534240	0.000000	0.000000
AL, 01303	0.058624	0.000000	0.017723	0.024199	0.037492	0.131563	0.057256	0.041852	0.631291	0.000000	0.000000
AL, 01304	0.013839	0.000000	0.063044	0.074320	0.075857	0.042542	0.057256	0.000000	0.673142	0.000000	0.000000
AL, 01305	0.012816	0.053096	0.065455	0.012816	0.078271	0.047146	0.057256	0.002460	0.670683	0.000000	0.000000
AL, 01400	0.007310	0.000000	0.009920	0.033937	0.000000	0.001044	0.640201	0.000000	0.307587	0.000000	0.000000
