in.nhgis_tract_gisjoin,in.electric_utility_eia_code
G0100010020100,195
G0100010020200,195
G0100010020300,195
G0100010020400,195
G0100010020500,195
G0100010020501,195
G0100010020502,195
G0100010020503,195
G0100010020600,195
G0100010020700,195
G0100010020800,195
G0100010020801,195
G0100010020803,195
G0100010020804,195
G0100010020805,195
G0100010020900,195
G0100010020901,195
G0100010020902,195
G0100010021000,195
G0100010021100,195
G0100030010100,195
G0100030010200,195
G0100030010300,195
G0100030010400,195
G0100030010500,195
G0100030010600,195
G0100030010701,195
G0100030010703,195
G0100030010704,1149
G0100030010705,1149
G0100030010706,195
G0100030010707,195
G0100030010708,195
G0100030010709,1149
G0100030010710,1149
G0100030010711,1149
G0100030010800,1149
G0100030010901,195
G0100030010902,1149
G0100030010903,195
G0100030010904,1149
G0100030010906,1149
G0100030010907,1149
G0100030010908,1149
G0100030011000,1149
G0100030011100,195
G0100030011102,195
G0100030011103,195
G0100030011104,195
G0100030011201,195
G0100030011202,195
G0100030011300,195
G0100030011401,195
G0100030011403,1149
G0100030011404,1149
G0100030011409,195
G0100030011410,195
G0100030011411,195
G0100030011412,1149
G0100030011413,1149
G0100030011414,1149
G0100030011415,1149
G0100030011416,1149
G0100030011417,1149
G0100030011418,1149
G0100030011419,1149
G0100030011500,195
G0100030011501,195
G0100030011503,195
G0100030011504,195
G0100030011600,1149
G0100030011601,1149
G0100030011603,1149
G0100030011604,1149
G0100050950100,195
G0100050950200,195
G0100050950300,195
G0100050950400,14602
G0100050950500,195
G0100050950600,195
G0100050950700,195
G0100050950800,195
G0100050950900,195
G0100070010000,195
G0100070010001,195
G0100070010005,195
G0100070010006,195
G0100070010007,195
G0100070010008,195
G0100070010009,195
G0100070010010,195
G0100070010011,195
G0100070010100,195
G0100070010200,195
G0100090050101,195
G0100090050102,195
G0100090050103,195
G0100090050104,195
G0100090050105,195
G0100090050106,195
G0100090050107,195
G0100090050200,195
G0100090050300,195
G0100090050301,195
G0100090050302,195
G0100090050400,195
G0100090050500,195
G0100090050501,195
G0100090050502,195
G0100090050600,195
G0100090050601,195
G0100090050603,195
G0100090050604,195
G0100090050700,195
G0100090050701,195
G0100090050702,195
G0100110952100,195
G0100110952200,195
G0100110952201,195
G0100110952202,195
G0100110952300,5204
G0100110952400,195
G0100110952500,195
G0100130952700,195
G0100130952800,195
G0100130952900,195
G0100130953000,195
G0100130953100,195
G0100130953200,195
G0100130953300,195
G0100130953400,195
G0100130953500,195
G0100150000100,195
G0100150000200,195
G0100150000300,195
G0100150000400,195
G0100150000500,195
G0100150000600,195
G0100150000700,195
G0100150000800,195
G0100150000900,195
G0100150001000,195
G0100150001100,195
G0100150001101,195
G0100150001102,195
G0100150001103,195
G0100150001200,195
G0100150001201,195
G0100150001202,195
G0100150001300,195
G0100150001400,195
G0100150001500,195
G0100150001501,195
G0100150001502,195
G0100150001600,195
G0100150001700,195
G0100150001800,195
G0100150001801,195
