Dependency=HVAC System Cooling	Dependency=HVAC System Central	Option=Central	Option=None	Option=Room
None	Neither Shared	0	1	0
"AC, SEER 8"	Neither Shared	1	0	0
"AC, SEER 10"	Neither Shared	1	0	0
"AC, SEER 13"	Neither Shared	1	0	0
"AC, SEER 15"	Neither Shared	1	0	0
"FIXME Room AC, EER 8.5, 20% Conditioned"	Neither Shared	0	0	1
"FIXME Room AC, EER 10.7, 20% Conditioned"	Neither Shared	0	0	1
None	Only Heating Shared	0	1	0
"AC, SEER 8"	Only Heating Shared	1	0	0
"AC, SEER 10"	Only Heating Shared	1	0	0
"AC, SEER 13"	Only Heating Shared	1	0	0
"AC, SEER 15"	Only Heating Shared	1	0	0
"FIXME Room AC, EER 8.5, 20% Conditioned"	Only Heating Shared	0	0	1
"FIXME Room AC, EER 10.7, 20% Conditioned"	Only Heating Shared	0	0	1
None	Both Shared	1	0	0
"AC, SEER 8"	Both Shared	1	0	0
"AC, SEER 10"	Both Shared	1	0	0
"AC, SEER 13"	Both Shared	1	0	0
"AC, SEER 15"	Both Shared	1	0	0
"FIXME Room AC, EER 8.5, 20% Conditioned"	Both Shared	1	0	0
"FIXME Room AC, EER 10.7, 20% Conditioned"	Both Shared	1	0	0
None	Only Cooling Shared	1	0	0
"AC, SEER 8"	Only Cooling Shared	1	0	0
"AC, SEER 10"	Only Cooling Shared	1	0	0
"AC, SEER 13"	Only Cooling Shared	1	0	0
"AC, SEER 15"	Only Cooling Shared	1	0	0
"FIXME Room AC, EER 8.5, 20% Conditioned"	Only Cooling Shared	1	0	0
"FIXME Room AC, EER 10.7, 20% Conditioned"	Only Cooling Shared	1	0	0
