FIXME: How to handle mutually exclusive measures?
Dependency=Location	Dependency=Vintage	Dependency=Heating Fuel	"Gas, Hot Water, Forced Draft, 80% AFUE, Boiler"	"Gas, Hot Water, Forced Draft, 76% AFUE, Boiler"	"Gas, Hot Water, Forced Draft, 72% AFUE, Boiler"	"Propane, Hot Water, Forced Draft, 80% AFUE, Boiler"	"Propane, Hot Water, Forced Draft, 76% AFUE, Boiler"	"Propane, Hot Water, Forced Draft, 72% AFUE, Boiler"	"Oil, Hot Water, Condensing, 90% AFUE, Boiler"	"Oil, Hot Water, Forced Draft, 80% AFUE, Boiler"	"Oil, Hot Water, Forced Draft, 76% AFUE, Boiler"	"Electric, Hot Water, 100% AFUE, Boiler"	"Gas, 96% AFUE, Furnace"	"Gas, 92.5% AFUE, Furnace"	"Gas, 80% AFUE, Furnace"	"Gas, 76% AFUE, Furnace"	"Gas, 60% AFUE, Furnace"	"Propane, 96% AFUE, Furnace"	"Propane, 92% AFUE, Furnace"	"Propane, 80% AFUE, Furnace"	"Propane, 76% AFUE, Furnace"	"Propane, 60% AFUE, Furnace"	"Oil, 95% AFUE, Furnace"	"Oil, 90% AFUE, Furnace"	"Oil, 80% AFUE, Furnace"	"Oil, 76% AFUE, Furnace"	"Gas, Wall or Floor, 68% AFUE, Furnace"	"Gas, Wall or Floor, 60% AFUE, Furnace"	"Propane, Wall or Floor, 68% AFUE, Furnace"	"Propane, Wall or Floor, 60% AFUE, Furnace"	"Oil, Wall or Floor, 68% AFUE, Furnace"	"Oil, Wall or Floor, 60% AFUE, Furnace"	"Electric, 100% AFUE, Furnace"	"100% Efficiency, Electric Baseboard"	"SEER 15, 8.5 HSPF, Air Source Heat Pump"	"SEER 13, 7.7 HSPF, Air Source Heat Pump"	"SEER 10, 6.2 HSPF, Air Source Heat Pump"	"SEER 8, 6.0 HSPF, Air Source Heat Pump"
CR01	1950s	Natural Gas	0.68	0.13	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR02	1950s	Natural Gas	0.08	0.01	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.41	0.20	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR03	1950s	Natural Gas	0.05	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.41	0.21	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR04	1950s	Natural Gas	0.24	0.05	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.31	0.15	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR05	1950s	Natural Gas	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.46	0.23	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR06	1950s	Natural Gas	0.09	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.37	0.19	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR07	1950s	Natural Gas	0.15	0.03	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.37	0.18	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR08	1950s	Natural Gas	0.03	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.39	0.19	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR09	1950s	Natural Gas	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.39	0.19	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR10	1950s	Natural Gas	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.28	0.14	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR11	1950s	Natural Gas	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.35	0.18	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR12	1950s	Natural Gas	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR01	1950s	Propane/LPG	0.00	0.00	0.00	0.68	0.13	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR02	1950s	Propane/LPG	0.00	0.00	0.00	0.08	0.01	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.41	0.20	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR03	1950s	Propane/LPG	0.00	0.00	0.00	0.05	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.41	0.21	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR04	1950s	Propane/LPG	0.00	0.00	0.00	0.24	0.05	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.31	0.15	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR05	1950s	Propane/LPG	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.46	0.23	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR06	1950s	Propane/LPG	0.00	0.00	0.00	0.09	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.37	0.19	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CR07	1950s	Propane/LPG	0.00	0.00	0.00	0.15	0.03	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.37	0.18	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
