"","Cooling.Type.Efficiency"
"1","AC, SEER 8"
"2","AC, SEER 10"
"3","AC, SEER 13"
"4","AC, SEER 15"
"5","AC, SEER 18"
"6","Heat Pump"
"7","None"
"8","Room AC, EER 8.5"
"9","Room AC, EER 9.8"
"10","Room AC, EER 10.7"
"11","Room AC, EER 12.0"
"12","Shared Cooling"
