Project,Scenario
Standard_scenarios_2020_annualOnly,MidCase
r,t,state,country,nuclear_MW,coal_MW,csp_MW,gas-ct_MW,upv_MW,wind-ons_MW,biomass_MW,gas-cc_MW,distpv_MW,wind-ofs_MW,geothermal_MW,battery_MW,coal-ccs_MW,phs_MW,gas-cc-ccs_MW,hydro_MW,o-g-s_MW,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ofs_MWh,wind-ons_MWh,coal-ccs_MWh,gas-cc-ccs_MWh,generation,co2_gen_mmt,co2_rate_avg_gen
p1,2020,WA,usa,0.0,0.0,0.0,668.2,25.0,467.6,9.9,800.9,130.24181818181802,0.0,0.0,12.4,0.0,0.0,0.0,3146.0499999999997,0.0,2941.6747002498,39409.0990971429,6573225.8029040005,0.0,0.0,152495.00517622,3168973.724176336,58534.32,0.0,13801850.040342689,0.0,0.0,0.0,48572.098575,0.0,1278596.8812487312,0.0,0.0,25124598.646220367,1.3796947341493002,54.914100462928396
p1,2022,WA,usa,0.0,0.0,0.0,668.2,25.0,467.6,9.9,800.9,134.00818181818198,0.0,0.0,12.4,0.0,0.0,0.0,3146.0499999999997,0.0,0.0,39409.0990971429,6112879.616,0.0,0.0,156904.89172603,2825938.8446199237,58534.32,0.0,13801850.040342689,0.0,0.0,0.0,47892.08919495,0.0,1276082.6421222722,0.0,0.0,24319491.54310301,1.22277984152854,50.27982757621919
p1,2024,WA,usa,0.0,0.0,0.0,668.2,25.0,467.6,9.9,800.9,146.814545454545,0.0,0.0,12.4,0.0,0.0,0.0,3423.0499999999997,0.0,0.0,45311.175359999994,5718173.333,0.0,0.0,171899.35753032,3467413.211933495,58534.32,0.0,15010822.69372157,0.0,0.0,0.0,47226.6514444725,0.0,1273076.7082365123,0.0,0.0,25792457.45122637,1.5044039244882301,58.32728142842006
p1,2026,WA,usa,0.0,0.0,0.0,668.2,25.0,467.6,9.9,800.9,180.275454545455,0.0,0.0,12.4,0.0,0.0,0.0,3439.0499999999997,0.0,0.0,45311.175359999994,6975793.141096001,0.0,0.0,211077.41551701,2750099.344158439,58534.32,0.0,15081446.254273482,0.0,0.0,0.0,46566.0709038525,0.0,1270070.7743507521,0.0,0.0,26438898.495659538,1.20395434672621,45.5372354836894
p1,2028,WA,usa,0.0,0.0,0.0,668.2,25.0,467.6,9.9,800.9,245.55,0.0,0.0,12.4,0.0,0.0,0.0,3439.0499999999997,0.0,0.0,44801.25984,6854480.0,0.0,0.0,287504.80486035,2075583.399303749,58534.32,0.0,15081446.254273482,0.0,0.0,0.0,45920.061992805,0.0,1267064.8404649922,0.0,0.0,25715334.940735377,0.920766977786516,35.806143684636176
p1,2030,WA,usa,0.0,0.0,0.0,668.2,25.0,467.6,9.9,800.9,357.34454545454497,0.0,0.0,12.4,0.0,0.0,0.0,3439.0499999999997,0.0,0.0,44801.25984,6727539.52,0.0,0.0,418400.62638493,2341215.05122695,58534.32,0.0,15081446.254273482,0.0,0.0,0.0,45278.910291615,0.0,1264115.4382944212,0.0,0.0,25981331.3803114,1.03997682475062,40.02784959429417
p1,2032,WA,usa,0.0,0.0,0.0,400.2,25.0,467.6,9.9,800.9,449.431818181818,0.0,0.0,4.4,0.0,0.0,0.0,3439.0499999999997,0.0,0.0,44801.25984,6597192.277096,0.0,0.0,526221.97998125,2173366.0429991297,35057.520000000004,0.0,15081446.254273482,0.0,0.0,0.0,44647.47301014,0.0,1261167.3108295412,0.0,0.0,25763900.118029542,0.9254920531633539,35.922047862454484
p1,2034,WA,usa,0.0,0.0,0.0,214.2,25.0,467.6,9.9,800.9,514.448181818182,0.0,0.0,0.0,0.0,0.0,0.0,3439.0499999999997,0.0,0.0,44801.25984,6488566.667,0.0,0.0,602347.07442231,2173399.28899166,18763.92,0.0,15081446.254273482,0.0,0.0,0.0,44020.8929385225,0.0,1258219.1833646612,0.0,0.0,25711564.540830635,0.9127750654669889,35.500564892403894
p1,2036,WA,usa,0.0,0.0,0.0,214.2,25.0,239.0,9.9,800.9,560.128181818182,0.0,0.0,0.0,0.0,0.0,0.0,3439.0499999999997,0.0,0.0,44509.8795428571,6433106.667,0.0,0.0,655831.98375247,1933880.4821582548,18763.92,0.0,15081446.254273482,0.0,0.0,0.0,43408.8844964775,0.0,654510.4566127311,0.0,0.0,24865458.52783627,0.8085246178487429,32.51597459759768
p1,2038,WA,usa,0.0,0.0,0.0,214.2,25.0,406.16700000000003,9.9,800.9,595.172727272727,0.0,0.0,31.8917626588906,0.0,0.0,0.0,3439.0499999999997,0.0,58276.6578567906,44270.09784,6474560.0,0.0,0.0,696864.2590623,1815864.5920000002,18763.92,0.0,15081446.254273482,0.0,0.0,0.0,42801.73326429,0.0,1311994.5997817572,0.0,0.0,25544842.11407862,0.7574823624511999,29.653045380684738
