Insulation.Type,Element,Cost,Estiamte,Unit,Note
"Uninsulated, Vented",Crawlspace,0,,$/ft2 crawlspace ceiling,
"Ceiling R-13, Vented",Crawlspace,0.85,,$/ft2 crawlspace ceiling,
"Ceiling R-19, Vented",Crawlspace,0.95,,$/ft2 crawlspace ceiling,
None,Crawlspace,0,,$/ft2 crawlspace ceiling,
"Wall R-5, Unvented",Crawlspace,1,*,$/ft2 crawlspace wall,
"Wall R-10, Unvented",Crawlspace,1.7,,$/ft2 crawlspace wall,
"Wall R-15, Unvented",Crawlspace,2.2,,$/ft2 crawlspace wall,
"Uninsulated, Vented",Unfinished Attic,0,,$/ft2 crawlspace wall,
"Ceiling R-7, Vented",Unfinished Attic,0.3,*,$/ft2 ceiling,
"Ceiling R-13, Vented",Unfinished Attic,0.64,,$/ft2 ceiling,
"Ceiling R-19, Vented",Unfinished Attic,0.9,,$/ft2 ceiling,
"Ceiling R-30, Vented",Unfinished Attic,1.4,,$/ft2 ceiling,
"Ceiling R-38, Vented",Unfinished Attic,1.7,,$/ft2 ceiling,
"Ceiling R-49, Vented",Unfinished Attic,2.2,,$/ft2 ceiling,
"Ceiling R-60, Vented",Unfinished Attic,2.7,,$/ft2 ceiling,
None,Unfinished Attic,0,,$/ft2 ceiling,
Uninsulated,Unfinished Basement,0,,$/ft2 basement ceiling area,
Ceiling R-13,Unfinished Basement,0.85,,$/ft2 basement ceiling area,
Ceiling R-19,Unfinished Basement,0.94,,$/ft2 basement ceiling area,
None,Unfinished Basement,0,,$/ft2 basement ceiling area,
"Brick, 12-in, 3-wythe, Uninsulated",Masonry.Wall,0,,$/ft2 wall area,
"CMU, 6-in Hollow, Uninsulated",Masonry.Wall,0,,$/ft2 wall area,
"CMU, 6-in Hollow, R-7",Masonry.Wall,1,*,$/ft2 wall area,Costs for CMUs based on Crawlspace wall options
"CMU, 6-in Hollow, R-11",Masonry.Wall,1.7,*,$/ft2 wall area,
"CMU, 6-in Hollow, R-15",Masonry.Wall,2.2,*,$/ft2 wall area,
"CMU, 6-in Hollow, R-19",Masonry.Wall,2.7,*,$/ft2 wall area,
"Wood Stud, Uninsulated",WoodFrame.Wall,0,,$/ft2 wall area,
"Wood Stud, R-7",WoodFrame.Wall,0.9,*,$/ft2 wall area,Generally assume we are insulation from uninsulated
"Wood Stud, R-11",WoodFrame.Wall,2,,$/ft2 wall area,
"Wood Stud, R-15",WoodFrame.Wall,2.5,*,$/ft2 wall area,
"Wood Stud, R-19",WoodFrame.Wall,3.1,,$/ft2 wall area,
"Wood Stud, R-19, R-5 Sheathing",WoodFrame.Wall,4.4,,$/ft2 wall area,
