"","Insulation.Type","Element"
"1","Uninsulated, Vented","Crawlspace"
"2","Ceiling R-13, Vented","Crawlspace"
"3","Ceiling R-19, Vented","Crawlspace"
"4","None","Crawlspace"
"5","Wall R-5, Unvented","Crawlspace"
"6","Wall R-10, Unvented","Crawlspace"
"7","Wall R-15, Unvented","Crawlspace"
"8","Uninsulated, Vented","Unfinished Attic"
"9","Ceiling R-7, Vented","Unfinished Attic"
"10","Ceiling R-13, Vented","Unfinished Attic"
"11","Ceiling R-19, Vented","Unfinished Attic"
"12","Ceiling R-30, Vented","Unfinished Attic"
"13","Ceiling R-38, Vented","Unfinished Attic"
"14","Ceiling R-49, Vented","Unfinished Attic"
"15","None","Unfinished Attic"
"16","Uninsulated","Unfinished Basement"
"17","Ceiling R-13","Unfinished Basement"
"18","Ceiling R-19","Unfinished Basement"
"19","None","Unfinished Basement"
"20","Brick, 12-in, 3-wythe, Uninsulated","Masonry.Wall"
"21","CMU, 6-in Hollow, Uninsulated","Masonry.Wall"
"22","CMU, 6-in Hollow, R-7","Masonry.Wall"
"23","CMU, 6-in Hollow, R-11","Masonry.Wall"
"24","CMU, 6-in Hollow, R-15","Masonry.Wall"
"25","CMU, 6-in Hollow, R-19","Masonry.Wall"
"26","Wood Stud, Uninsulated","WoodFrame.Wall"
"27","Wood Stud, R-7","WoodFrame.Wall"
"28","Wood Stud, R-11","WoodFrame.Wall"
"29","Wood Stud, R-15","WoodFrame.Wall"
"30","Wood Stud, R-19","WoodFrame.Wall"
"31","Wood Stud, R-19, R-5 Sheathing","WoodFrame.Wall"
