Cooling.Type.Efficiency,Cost,Estimate
"AC, SEER 8",1800,*
"AC, SEER 10",2000,*
"AC, SEER 13",2200,
"AC, SEER 15",2400,
"AC, SEER 18",2800,
Heat Pump,3100,
None,0,
"Room AC, EER 8.5",150,*
"Room AC, EER 9.8",300,*
"Room AC, EER 10.7",450,*
"Room AC, EER 12.0",600,*
Shared Cooling,0,
